Station Name,Street Address,City,State,ZIP,Station Phone,Access Code,Groups With Access Code,Latitude,Longitude,ID
Massachusetts Bus Transit Authority - Charlestown Bus Garage,21 Arlington Ave,Boston,MA,2129,,private,Private,42.387412,-71.07446,66767
Torrington Tri-Gen,539 Technology Park Dr,Torrington,CT,6790,,private,Private,41.843121,-73.081003,66848
Clean Energy - Stark Area Regional Transit Authority,1600 Gateway Blvd SE,Canton,OH,44707,866-809-4869  330-477-2782,private,Private,40.78093,-81.36797,70260
Mass Transportation Authority - Grand Blanc Alternative Fueling Center,5091 S Dort Hwy,Flint,MI,48507,,private,Private - Fleet customers only,42.957467,-83.652711,73480
SERVCO,2850 Pukoloa St,Honolulu,HI,96819,808-687-7600,public,Public,21.343935,-157.897062,82474
Shell - San Francisco 3rd St,551 3rd St,San Francisco,CA,94107,888-380-5259,public,Public - Credit card at all times,37.780625,-122.394922,88307
Shell - San Francisco Mission St,3550 Mission St,San Francisco,CA,94110,888-380-5259,public,Public - Credit card at all times,37.740188,-122.423654,88308
Shell - San Francisco Harrison St,1201 Harrison St,San Francisco,CA,94103,888-380-5259  415-621-5542,public,Public - Credit card at all times,37.773345,-122.408478,88310
True Zero - FirstElement - Oakland,350 Grand Ave,Oakland,CA,94610,844-878-9376,public,Public - Credit card at all times,37.809238,-122.255662,88315
Shell - Sacramento,3510 Fair Oaks Blvd,Sacramento,CA,95864,888-380-5259,public,Public - Credit card at all times,38.573852,-121.382464,88318
Shell - Citrus Heights,6141 Greenback Ln,Citrus Heights,CA,95621,888-380-5259,public,Public - Credit card at all times,38.679592,-121.320589,88320
Fort Lewis,McKinley Ave & Garfield St,Fort Lewis,WA,98433,,private,Private,47.10579,-122.539,102640
AC Transit - Emeryville,1172 45th St,Emeryville,CA,94608,,private,Private,37.83421674,-122.2815383,121860
Nel - Nikola,4141 E Broadway Rd,Phoenix,AZ,85040,,private,Private,33.406218,-111.99245,122225
South Coast Air Quality Management District - Diamond Bar,21865 Copley Dr,Diamond Bar,CA,91765,909-396-2638,public,Public - Credit card at all times,34.001326,-117.830482,153941
Trillium - Orange County Transportation Authority - Santa Ana,4301 E MacArthur Blvd,Santa Ana,CA,92704,,private,Private - Government only,33.70336,-117.926877,153942
