Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
CNG,Clean Energy - Canarsie - National Grid,8424 Ditmas Ave,"From Shore Pkwy, take Rockaway Pkwy N, left onto Ditmas Ave, and station is on the left",Brooklyn,NY,11236,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts OGS,CleanEnergy D FleetOne FuelMan M Proprietor V Voyager Wright_Exp,,B,3000 3600,,,,,,,200-8,40.64554,-73.918344,5/9/19,112,2020-01-21 18:34:38 UTC,T,,,1/15/88,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,525,,,,,,,,,B,3000 3600,MD,,
CNG,Con Edison - W 29th St Service Center,281 11th Ave,"In Manhattan, W 29th Street and 12th Avenue.",New York,NY,10001,,212-643-3054,E,,Public - Card key at all times,24 hours daily; call 718-204-4100 to arrange for card key,,,Q,3600,,,,,,,200-9,40.752903,-74.005831,5/9/19,124,2020-02-28 17:11:01 UTC,T,,,5/1/14,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3600,MD,,
CNG,Con Edison - E 16th St Service Center,700 E 16th St,"In Manhattan, at Avenue C and E 16th. Broadway: Turn east onto 14th Street, then left onto 1st Avenue at 16th Street.",New York,NY,10009,,212-460-6708,E,,Public - Card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3600,,,,,,,200-8,40.729175,-73.97331,5/9/19,125,2020-02-28 17:13:29 UTC,T,,,1/15/98,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3600,MD,,
CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,"Hutchinson River Parkway, exit onto E Tremont Avenue W, right onto Bronxdale Avenue, station on the left. From I-95, take Castle Hill Avenue exit north to E Tremont and Bronx.",Bronx,NY,10462,,718-904-4504,E,,Public - Card key at all times,"8am-6pm M-F, call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,GPS,40.8441883,-73.8615724,3/3/20,129,2020-03-03 21:13:47 UTC,T,,,1/15/98,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000,MD,,
CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,"I-95/New England Thruway, exit 19 onto Playland Pkwy Service Rd going south, left onto Theodore Fremd Ave, station on left.",Rye,NY,10580,,914-933-2910,T,,TEMPORARILY UNAVAILABLE (Public - Card key at all times),8am-8pm M-F; call 718-204-4048 to arrange for card key,,,Q,3600,,,,,,,200-9,40.979001,-73.693048,1/13/20,130,2020-02-14 16:20:18 UTC,T,,,,,MD,,,,US,,,,TEMPORAIREMENT SUSPENDU (Public - Carte-clé en tout temps),,public,KEY_ALWAYS,,UTILITY,1,,50,,,,,,,,,Q,3600,MD,,
CNG,Con Edison - College Point Service Center,124-15 31st Ave,"From I-678/Whitestone Expressway, exit at Linden Place, I-678 service road W, right onto 31st Avenue, station at intersection with College Point Boulevard.",Queens,NY,11354,,718-321-4608,E,,Public - Card key at all times,"7am-11pm M-F, 7am-3pm Sat-Sun; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,40.769623,-73.843069,5/9/19,132,2020-02-28 17:14:49 UTC,T,,,1/15/98,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000,MD,,
CNG,Clean Energy - South Yarmouth - National Grid,127 Whites Path,"US-6, exit 8, Station Ave, and turn left onto Whites Path",South Yarmouth,MA,2664,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; does not accept debit cards,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,41.688787,-70.201253,12/12/19,139,2020-04-02 20:03:31 UTC,T,,,11/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,180,,,,,,,,,Q,3000 3600,HD,,
CNG,Langsdale Facility - Citizens Energy Group,2150 Dr Martin Luther King Jr St,,Indianapolis,IN,46202,,,E,,Private,,,,B,3000 3600,,,,,,,200-8,39.795998,-86.169223,1/13/20,146,2020-01-21 18:34:38 UTC,P,,,4/15/96,,MD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,B,3000 3600,MD,,
CNG,CNG Source Fueling - Greene's Auto & Truck Service,111 W Raymond St,"I-65, exit onto Raymond Street W.",Indianapolis,IN,46225,,317-353-8241,E,,Public - Credit card at all times,24 hours daily,A Comdata D EFS M V Wright_Exp,,Q,3000 3600,,,,,,,200-9,39.736169,-86.161743,10/4/19,147,2020-01-21 18:34:38 UTC,T,,,3/15/91,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2,,50,,,,,,,,,Q,3000 3600,MD,,
CNG,Sandusky International,615 W Market St,"Columbus Avenue and Market Street, station is 3 blocks west of intersection",Sandusky,OH,44870,,,E,,Private,,,,Q,3000,,,,,,,200-9,41.454758,-82.716202,12/12/19,185,2020-04-27 16:25:25 UTC,P,,,12/15/96,,HD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,,,20,,,,,,,,,Q,3000,HD,,
CNG,Black Hills Energy,1301 W 24th St,"From I-25 take exit 10, Missile Dr, go approximately 0.5 miles to W 24th St, then turn left onto W 24th.  The fueling station is located on the right",Cheyenne,WY,82001,,307-638-3361,E,,Public - Card key at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy Wright_Exp,,Q,3000 3600,,,,,,,200-8,41.135848,-104.830233,4/8/19,215,2020-02-20 18:23:14 UTC,T,,,3/1/13,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,270,,,,,,,,,Q,3000 3600,MD,,
CNG,Shell,131 Brainard Rd,"I-91, exit 27, at Murphy Road",Hartford,CT,6114,,860-278-7044,T,,TEMPORARILY UNAVAILABLE (Public),24 hours daily,A Cash Comdata D FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,41.736894,-72.660257,4/8/20,248,2020-04-08 12:29:55 UTC,P,,,,,HD,,,,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,CONVENIENCE_STORE,2,,120,,,,,,,,,Q,3600,HD,,
CNG,Sparq - Baton Rouge,8968 S Choctaw Dr,2 miles east of Airline Hwy/Highway 61,Baton Rouge,LA,70815,,844-772-7764,E,,Public - Credit card at all times,24 hours daily,Comdata FuelMan GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,30.471166,-91.087975,1/13/20,296,2020-03-09 20:56:59 UTC,P,,,8/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2,,112,,,,,,,,,Q,3600,HD,,
CNG,Ohio Department of Transportation - District 12,5500 Transportation Blvd,At I-480,Garfield Heights,OH,44125,,,E,,Private,,,,B,3000,,,,,,,200-9,41.414089,-81.615521,5/6/20,307,2020-05-06 17:56:57 UTC,SG,,,4/15/92,,LD,,,,US,,,,Privé,,private,,,STATE_GOV,,,60,,,,,,,,,B,3000,LD,,
CNG,Clean Energy - City of Santa Fe - Santa Fe Trails Transit,2931 Rufina St,,Santa Fe,NM,87507,,,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M Proprietor V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,35.65758,-105.993406,1/13/20,360,2020-01-21 18:34:38 UTC,LG,,,12/15/01,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,FLEET_GARAGE,1,,300,,,,,,,,,Q,3000 3600,HD,,
CNG,Kansas Gas Service,11401 W 89th St,"Station located in Service Center driveway, back-in required to access dispenser",Overland Park,KS,66214,,913-319-8600,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,38.966292,-94.715917,10/4/19,372,2020-01-21 18:34:38 UTC,T,,,12/3/96,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,,,,,,,,,,Q,3000 3600,MD,,
CNG,Intermountain Gas Co,555 S Cole Rd,,Boise,ID,83709,,,E,,Private,,,,Q,3600,,,,,,,200-9,43.599179,-116.276042,4/8/20,408,2020-04-08 12:29:55 UTC,T,,,3/15/87,,LD,,,,US,,,,Privé,,private,,,UTILITY,,,70,,,,,,,,,Q,3600,LD,,
CNG,Intermountain Gas Co,12584 W Tyhee Rd,,Pocatello,ID,83202,,,E,,Private,,,,Q,3000,,,,,,,200-9,42.949867,-112.468069,4/8/20,413,2020-04-08 12:29:55 UTC,T,,,3/15/89,,LD,,,,US,,,,Privé,,private,,,UTILITY,,,25,,,,,,,,,Q,3000,LD,,
CNG,Intermountain Gas Co,1527 Hollipark Dr,,Idaho Falls,ID,83401,,,E,,Private,,,,Q,3000,,,,,,,200-9,43.509729,-112.007445,4/8/20,415,2020-04-08 12:29:55 UTC,T,,,3/15/88,,LD,,,,US,,,,Privé,,private,,,UTILITY,,,25,,,,,,,,,Q,3000,LD,,
CNG,Intermountain Gas Co,2921 Caldwell Blvd,,Nampa,ID,83651,,,E,,Private,,,,Q,3000,,,,,,,200-9,43.615117,-116.618458,4/8/20,416,2020-04-08 12:29:55 UTC,T,,,3/15/86,,LD,,,,US,,,,Privé,,private,,,UTILITY,,,25,,,,,,,,,Q,3000,LD,,
CNG,ValleyRide,4701 Northrup St,,Boise,ID,83705,,,E,,Private,,,,Q,3600,,,,,,,200-8,43.559171,-116.241498,6/9/20,418,2020-06-09 16:47:26 UTC,LG,,,1/15/95,,HD,,,,US,,,,Privé,,private,,,FLEET_GARAGE,,,1000,,,,,,,,,Q,3600,HD,,
CNG,Kansas Gas Service,200 E 1st Ave,,Topeka,KS,66603,,913-319-8600,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,39.058754,-95.667854,10/4/19,434,2020-01-21 18:34:38 UTC,T,,,11/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,,,,,,,,,,Q,3000 3600,HD,,
CNG,Laclede Gas Co - Shrewsbury Facility,4118 Shrewsbury Ave,Intersection of I-44 and Shrewsbury.,St. Louis,MO,63119,,844-499-5682,E,,Public - Card key at all times,24 hours daily,FuelMan Wright_Exp,,Q,3000 3600,,,,,,,200-9,38.598601,-90.323574,4/8/19,440,2020-03-27 20:42:38 UTC,T,,,3/15/04,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,STANDALONE_STATION,1,,56,34713,,,,,,,,Q,3000 3600,MD,,
CNG,Clean Energy - Brentwood - National Grid,1650 Islip Ave,"I-495, exit onto SR-111 S, and station is on the right in KeySpan yard",Brentwood,NY,11717,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.785664,-73.219818,5/9/19,448,2020-01-21 18:34:38 UTC,T,,,2/15/95,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,275,,,,,,,,,Q,3000 3600,MD,,
CNG,Clean Energy - Hicksville - National Grid,175 E Old Country Rd,"From I-495 exit onto SR-107 S, left onto E Old Country Rd, and the station is on the right in KeySpan yard",Hicksville,NY,11801,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts OGS,CleanEnergy D FuelMan M Proprietor V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.766799,-73.509603,5/9/19,449,2020-01-21 18:34:38 UTC,T,,,7/15/92,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,150,,,,,,,,,Q,3000 3600,MD,,
CNG,Clean Energy - City of Irving,128 N Briery Rd,"From Rock Island Rd, north on Briery Rd",Irving,TX,75061,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,32.817883,-96.988716,6/6/19,453,2020-01-21 18:34:38 UTC,P,,,12/15/96,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,1,,200,,,,,,,,,Q,3600,MD,,
CNG,Clean Energy - Downtown Dallas,801 S Riverfront Blvd,Located on south end of Fuel City property.,Dallas,TX,75207,,866-278-3674,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,32.76662,-96.807086,6/6/19,456,2020-01-21 18:34:38 UTC,P,,,12/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,1,,615,,,,,,,,,Q,3600,HD,,
CNG,Clean Energy - Garland Independent School District,3526 Security St,"I-635, north on Jupiter Rd, and right on Security St",Garland,TX,75042,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,32.89683,-96.68401,6/6/19,477,2020-01-21 18:34:38 UTC,P,,,12/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SCHOOL,2,,100,,,,,,,,,Q,3000 3600,HD,,
CNG,Orem City,955 N 900 W,900 W.,Orem,UT,84057,,801-229-7500,E,,Private - Government only,,,,T,3000,,,,,,,200-9,40.314778,-111.717746,2/6/19,519,2020-01-21 18:34:38 UTC,LG,,,12/15/96,,MD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,T,3000,MD,,
CNG,West Jordan School District,8370 S 4300 W,4300 W.,West Jordan,UT,84088,,801-567-8820,E,,Private - Fleet customers only,Fleet customers may contact the station for fueling access,,,Q,3000,,,,,,,200-8,40.599413,-111.993532,2/6/19,523,2020-01-21 18:34:38 UTC,SG,,,7/1/08,,HD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,SCHOOL,,,30,,,,,,,,,Q,3000,HD,,
CNG,Questar Gas - Salt Lake City,1150 W 200 S,200 S,Salt Lake City,UT,84104,,800-323-5517,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.764976,-111.922291,3/3/20,528,2020-03-03 21:13:47 UTC,T,,,12/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,3,,700,,,,,,,,,Q,3000 3600,HD,,
CNG,Salt Lake Operations Center,1078 W 100 S,,Salt Lake City,UT,84104,,,E,,Private,,,,T,3000,,,,,,,200-8,40.767168,-111.921952,1/13/20,534,2020-01-21 18:34:38 UTC,T,,,11/15/96,,MD,,,,US,,,,Privé,,private,,,UTILITY,,,250,,,,,,,,,T,3000,MD,,
CNG,Baxter Field Station - Wexpro,79 S State St,State St.,Salt Lake City,UT,84111,,801-324-2534,E,,Private - Fleet customers only,Fleet customers may contact station for fueling access,,,T,3000,,,,,,,200-8,40.767248,-111.88814,2/6/19,536,2020-01-21 18:34:38 UTC,P,,,11/15/96,,MD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,MOTOR_POOL,,,,,,,,,,,,T,3000,MD,,
CNG,Utah Power,1355 W N Temple,N Temple.,Salt Lake City,UT,84116,,801-220-4180,E,,Private,,,,Q,3000,,,,,,,200-8,40.771438,-111.930141,2/6/19,539,2020-01-21 18:34:38 UTC,T,,,11/15/96,,MD,,,,US,,,,Privé,,private,,,UTILITY,,,50,,,,,,,,,Q,3000,MD,,
CNG,Salt Lake County Oxbow Prison,3148 S 1100 W,,Salt Lake City,UT,84119,,,E,,Private - Government only,,,,T,3000,,,,,,,200-8,40.703021,-111.922753,2/6/19,542,2020-01-21 18:34:38 UTC,LG,,,11/15/96,,MD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,PRISON,,,,,,,,,,,,T,3000,MD,,
CNG,Questar Gas - LW's Conoco,1050 W 200 N,"Main St in Logan, west on 2nd N, and 10 blocks west",Logan,UT,84321,,435-753-7461,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,41.734633,-111.861488,3/3/20,548,2020-03-03 21:13:47 UTC,P,,,12/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,1,,25,,,,,,,,,Q,3600,HD,,
CNG,Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Exit 241/ US-6,Price,UT,84501,,435-637-4002,E,,Public - Credit card at all times,24 hours daily,Comdata D GasCard M Proprietor V Wright_Exp,,Q,3600,,,,,,,200-9,39.586805,-110.813433,3/3/20,558,2020-03-03 21:13:47 UTC,P,,,12/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,1,,150,,,,,,,,,Q,3600,HD,,
CNG,Questar Gas - Chevron,1375 N Main St,"Take I-70, then take exit 40, and the station is on the right",Richfield,UT,84701,,435-896-8352,E,,Public - Credit card at all times,24 hours daily,Comdata GasCard M V Wright_Exp,,Q,3000,,,,,,,200-9,38.786621,-112.084147,3/3/20,569,2020-03-03 21:13:47 UTC,P,,,12/15/96,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,1,,150,,,,,,,,,Q,3000,HD,,
CNG,Enterprise Station,946 N Production Rd,Cedar City Center,Cedar City,UT,84721,,435-586-3741,E,,Private - Fleet customers only,Fleet customers may contact station for fueling access,,,Q,3000,,,,,,,200-8,37.69344,-113.094441,2/6/19,572,2020-01-21 18:34:38 UTC,T,,,11/15/96,,MD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,STANDALONE_STATION,,,,,,,,,,,,Q,3000,MD,,
CNG,Mobile Gas Services Corp,2828 Dauphin St,Off I-65,Mobile,AL,36606,,,E,,Private - Fleet customers only,24 hours daily; contact 251-450-4704 to set up account,,,B,3600,,,,,,,200-9,30.689832,-88.108861,12/12/19,597,2020-01-21 18:34:38 UTC,T,,,9/15/98,,MD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,OFFICE_BLDG,,,,,,,,,,,,B,3600,MD,,
CNG,CenterPoint Energy - Minnegasco,501 W 61st St,"Southbound I-35 W, exit onto Lyndale Ave to 61st St",Minneapolis,MN,55419,,612-861-8447,E,,Private - Fleet customers only,7:30am-6pm M-F; contact 612-861-8447 to set up account with CenterPoint,,,Q,3600,,,,,,,200-9,44.891455,-93.285766,3/7/19,606,2020-03-13 17:30:13 UTC,T,,,1/15/97,,HD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,UTILITY,,,182,,,,,,,,,Q,3600,HD,,
CNG,Metropolitan Utilities District,2615 S 64th Ave,,Omaha,NE,68106,,402-554-6666,E,,Private,Emergency access on a case by case basis; call 402-504-7866 or 402-504-7790 for arrangements,,,Q,3600,,,,,,,200-9,41.235148,-96.011954,3/3/20,622,2020-03-03 21:13:47 UTC,T,,,1/15/87,,MD,,,,US,,,,Privé,,private,,,UTILITY,2,,634,,,,,,,,,Q,3600,MD,,
CNG,X3Energy,3103 N Industrial Way,"I-25, exit onto Meadows Pkwy W, left on Industrial, at US-85",Castle Rock,CO,80104,,844-304-9800,E,,Public - Credit card at all times,24 hours daily,A D M Proprietor V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,39.407087,-104.872002,11/8/19,633,2020-03-31 19:26:56 UTC,P,,,11/1/13,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,58,,,,,,,,,Q,3600,MD,,
