streetaddr,city,state,zip,stationpho,cardsaccep,type,psi3000,psi3100,lat,lon,id,stationnam
5609 State Route 8,Barkeyville,PA,16038,814-758-1725,a,a,1,1,41.19868,-79.9748,42596,Heath Oil CNG
1719 S Santa Fe St,Santa Ana,CA,92705,800-950-3835,a,a,1,1,33.7246291,-117.8533654,40876,Clean N' Green - Waste Management
3701 S Lamar St,Dallas,TX,75215,562-493-2804,a,a,1,1,32.753483,-96.774492,12768,Clean Energy - South Dallas
4120 New Bern Ave,Raleigh,NC,27610,919-996-2733,a,a,1,1,35.794859,-78.566251,33082,City of Raleigh
81 N Service Rd,Boston,MA,2128,617-242-8755,a,a,1,1,42.3705892,-71.0257283,81,Clean Energy - Logan International Airport
746 Diligence Dr,Newport News,VA,23606,757-466-5506,a,a,1,1,37.083017,-76.463109,1110,Virginia Natural Gas - VNG Office
2145 County Rd Pb,Verona,WI,53593,608-848-9040,a,a,1,1,42.971023,-89.5131606,52216,Kwik Trip #456
12931 Garden Grove Blvd,Garden Grove,CA,92843,562-493-2804,a,a,1,1,33.774782,-117.906598,26308,Clean Energy - ARCO Garden Grove
Mall Dr CD16,Norfolk,VA,23511,757-440-2265,a,a,1,1,36.94178,-76.311697,12801,Virginia Natural Gas - NEX Norfolk Naval Base
1152 Capital Circle SW,Tallahassee,FL,32304,850-224-4516,a,a,1,1,30.4376,-84.3546,47236,Nopetro - Leon County School District
675 W Manning Ave,Reedley,CA,93654,559-305-7065,a,a,1,1,36.604174,-119.455184,12840,Kings Canyon Unified School District
3145 Ann Arbor-Saline Rd,Ann Arbor,MI,48103,734-997-3929,a,a,1,1,42.23982,-83.766816,12849,Meijer Gas #64
10325 Garland Rd,Dallas,TX,75218,214-991-1274,a,a,1,1,32.84212,-96.692969,49546,CNG Texas
324 Fletcher Ave,Waterloo,IA,50701,319-233-2989,a,a,1,1,42.488499,-92.367561,53751,Kwik Trip #732
850 S Carbon Ave,Price,UT,84501,435-637-4002,a,a,1,1,39.587747,-110.815928,558,Sinclair
1550 W 3rd St,Williamsport,PA,17701,570-326-2500,a,a,1,1,41.2370481,-77.0379784,52495,River Valley Transit - Public Access
5050 W Pershing Rd,Cicero,IL,60804,800-950-3835,a,a,1,1,41.8219437,-87.7529478,43713,Clean N' Green - Waste Management
1616 Baylor St,Dallas,TX,75226,562-493-2804,a,a,1,1,32.7808272,-96.7752689,26654,Clean Energy - Deep Ellum Central Service Center
176 E Lincoln St,Banning,CA,92220,951-922-3291,a,a,1,1,33.9217141,-116.8745226,1359,City of Banning
1323 W Lakeview Dr,Stillwater,OK,74075,405-744-7938,a,a,1,1,36.1449469,-97.0749233,33899,Clean Energy - Oklahoma State University
1440 Main St,Orange,CA,92867,281-647-8900,a,a,1,1,33.811444,-117.86802,52683,Ryder Systems Inc
2205 N Ash St,Ponca City,OK,74601,888-609-2410  800-664-5463,a,a,1,1,36.7287179,-97.0946086,767,Oklahoma Natural Gas - Ponca City Service Center
24300 Clawiter Rd,Hayward,CA,94545,800-684-4648,a,a,1,1,37.6421586,-122.1177635,818,PG&E Hayward Service Center
1640 Elk St,Rock Springs,WY,82901,307-382-9451,a,a,1,1,41.613419,-109.230014,49294,Exxon - Get 'N Go
4211 Global St,Raleigh,NC,27610,919-836-2428,a,a,1,1,35.782015,-78.5629979,39189,PSNC Energy
225 6th St,Carrollton,KY,41008,502-732-7055,a,a,1,1,38.6808796,-85.1781,53753,Carrollton Utilities
32744 State Highway 45,Waynoka,OK,73860,405-372-3579,a,a,1,1,36.59442,-98.8634,36594,OnCue Express #353
451 Tyburn Rd,Fairless Hills,PA,19030,562-493-2804,a,a,1,1,40.1799016,-74.8046692,48910,Clean Energy - Tyburn LLC
3683 Industrial Rd,Las Vegas,NV,89109,562-493-2804,a,a,1,1,36.122907,-115.179315,41672,Clean Energy - Las Vegas City Center
4920 N Western Ave,Oklahoma City,OK,73118,405-935-6475  405-372-3579,a,a,1,1,35.5211292,-97.5293536,34828,OnCue Express #191
1767 S Old US 41,Vincennes,IN,47591,877-264-3835,a,a,1,1,38.7098705,-87.4887052,52206,Northville NG Fuels
1310 E Chain of Rocks Rd,Granite City,IL,62040,866-809-4869,a,a,1,1,38.7611524,-90.0674747,60267,Clean Energy - Pontoon Beach Flying J #645
15701 International Plaza Dr,Houston,TX,77032,562-493-2804,a,a,1,1,29.9436507,-95.3273203,37121,Clean Energy - Parking Spot Houston
1130 Baltimore Pike,Concordville,PA,19342,610-358-2419,a,a,1,1,39.88078,-75.545734,48909,Lehigh Gas - Exxon
1422 Naylor Dr SE,Bemidji,MN,56601,218-444-4130,a,a,1,1,47.4413978,-94.8487541,53317,Shared Medical Technology
2072 Secrest Rd,Wooster,OH,44691,216-986-9999,a,a,1,1,40.7844744,-81.9235837,41694,Quasar
20207 E 1110 County Rd,Elk City,OK,73644,580-303-4515,a,a,1,1,35.407717,-99.3803,48496,Hutch's C-Store #119
251 Commerce Dr,New Holland,PA,17557,717-354-5102,a,a,1,1,40.087265,-76.09507,53323,CNG of New Holland
John F Kennedy Airport,Queens,NY,11201,718-963-5495,a,a,1,1,40.645397,-73.786717,106,National Grid - Port Authority of New York and New Jersey
6016 Old Boyce Hwy,Alexandria,LA,71309,318-449-1578,a,a,1,1,31.345192,-92.519025,41450,Chevron - Leebo's #9
1990 Scott Rd NW,Rochester,MN,55901,507-289-2185,a,a,1,1,44.6232818,-93.7565933,48906,Kwik Trip #659
158 Peabody Rd,Vacaville,CA,95687,800-684-4648,a,a,1,1,38.3507074,-121.9776818,1349,PG&E Vacaville Service Center
175 N Caln Rd,Coatesville,PA,19320,610-648-7809,a,a,1,1,39.993845,-75.785742,33134,PECO Energy - Coatesville Station
2514 Business Center Dr,Austin,TX,78744,800-920-1166,a,a,1,1,30.2132916,-97.7378893,30622,Trillium CNG - City of Austin - Public Access
3100 1/2 Spirit of Texas Dr,Austin,TX,78719,562-493-2804,a,a,1,1,30.2106125,-97.6684453,35316,Clean Energy - Austin Bergstrom International Airport
103 Hill St,Kersey,CO,80644,970-356-8669,a,a,1,1,40.3923,-104.565,36295,Kramer's Wedge Store - Conoco
3825 Carpenter Rd,Ypsilanti,MI,48197,734-677-7129,a,a,1,1,42.233344,-83.677327,12823,DTE Energy - Meijer Ypsilanti
2950 N Ohio St,Wichita,KS,67219,316-494-8264,a,a,1,1,37.737099,-97.32375,52207,CNG Services LLC
4225 S Port Ave,Corpus Christi,TX,78415,361-885-6910,a,a,1,1,27.7501345,-97.4205535,118,City of Corpus Christi Gas Department
75 Prado Rd,San Luis Obispo,CA,93401,562-493-2804,a,a,1,1,35.254197,-120.670939,1029,JB Dewar Inc
940 I St,Los Banos,CA,93635,800-684-4648,a,a,1,1,37.0587691,-120.8425873,33323,PG&E Los Banos Service Center
4915 W Industrial Blvd,Midland,TX,79703,800-920-1166,a,a,1,1,31.962703,-102.134231,25598,Trillium CNG - Pinnacle - Midland
24169 Highway 49,Lawton,OK,73538,580-529-2882,a,a,1,1,34.713662,-98.40174,46195,Love's Country Store #263
810 N Lake St,Burbank,CA,91502,562-493-2804,a,a,1,1,34.182974,-118.319506,26305,Clean Energy - City of Burbank
5363 Route 36,Coolspring,PA,15730,814-590-4498,a,a,1,1,41.000556,-79.057778,41174,"""O"" Ring CNG Fuels Systems - Innovative Entrepreneurs Inc"
2425 W Houston Ave,Visalia,CA,93291,800-920-1166,a,a,1,1,36.3419269,-119.3141709,27976,Trillium CNG - Visalia Unified School District
11401 W 89th St,Overland Park,KS,66214,913-319-8600,a,a,1,1,38.96605,-94.7169,372,Kansas Gas Service
2277 E Broadway Ave,Muskegon,MI,49444,231-733-9380,a,a,1,1,43.2012514,-86.1879706,12822,DTE Energy - Wesco Oil
1700 E Central,Anadarko,OK,73005,888-609-2410  800-664-5463,a,a,1,1,35.072375,-98.2157341,25880,Oklahoma Natural Gas - Anadarko Service Center
1449 SW Country Club Rd,Claremore,OK,74017,888-609-2410,a,a,1,1,36.2929514,-95.6264761,20921,Oklahoma Natural Gas - Claremore Service Center
65 Industry Dr,West Haven,CT,6516,203-934-2096 x125,a,a,1,1,41.29134,-72.985335,36300,Clean Energy - Metro Taxi
200 Cortland Ave,Syracuse,NY,13202,315-442-3333,a,a,1,1,43.035811,-76.15153,7021,Central New York Regional Transportation Authority - Centro
350 Horseblock Rd,Yaphank,NY,11980,631-451-8696,a,a,1,1,40.8056205,-72.9378888,35318,Clean Energy - Town of Brookhaven Refuse and Recycling Improvement
527 S 700 W,Woods Cross,UT,84087,801-295-3241,a,a,1,1,40.883915,-111.8990879,33205,RB's Fuel Stop - Phillips 66
9400 Highland Dr,Jonesboro,AR,72401,800-920-1166,a,a,1,1,35.8220445,-90.5613881,52681,Trillium CNG - Highland Drive - Jonesboro
13240 SE 32nd St,Bellevue,WA,98005,800-663-4555  888-732-6487,a,a,1,1,47.5819162,-122.1623472,33320,Clean Energy - Bellevue PSE Factoria
605 N Berry Rd,Norman,OK,73069,800-664-5463  888-609-2410,a,a,1,1,35.2257103,-97.458973,12781,Oklahoma Natural Gas - Norman Service Center
1407 SE 4th St,Lindsay,OK,73052,405-372-3579,a,a,1,1,34.8279507,-97.5983859,36590,OnCue Express #352
619 N Main St,Altus,OK,73521,580-482-6167,a,a,1,1,34.644164,-99.334186,46197,Love's Country Store #8
2005 Cockrell Hill Rd,Dallas,TX,75211,562-493-2804,a,a,1,1,32.724415,-96.89388,12767,Clean Energy - Cockrell Hill
3123 S Highway 51,Janesville,WI,53546,608-752-3354,a,a,1,1,42.634444,-89.030092,53008,Kwik Trip #326
402 Cedar St,Saint Joseph,MO,64501,816-756-5252,a,a,1,1,39.741662,-94.855413,50047,Missouri Gas Energy
4646 S 500 W,Murray,UT,84123,801-324-5987,a,a,1,1,40.6712105,-111.9056797,23219,Questar Gas - City of Murray
2623 Uwharrie Rd,High Point,NC,27263,704-309-7536,a,a,1,1,35.923756,-80.007658,42090,Piedmont Natural Gas - High Point - Public Access
2999 E La Jolla St,Anaheim,CA,92806,800-920-1166,a,a,1,1,33.8605658,-117.8649634,25601,Trillium CNG - City of Placentia Corporate Yard - Anaheim
11239 Midway,Chico,CA,95928,800-684-4648,a,a,1,1,39.7083926,-121.8088734,1347,PG&E Chico Service Center
1140 University Blvd NE,Albuquerque,NM,87106,562-493-2804  505-975-4064,a,a,1,1,35.0909155,-106.6252033,20888,Clean Energy - University of New Mexico
2020 Eagle Rd,Weatherford,OK,73096,405-372-3579,a,a,1,1,35.5224395,-98.6917721,36595,OnCue Express #354
4800 W Rawson Ave,Milwaukee,WI,53132,920-243-5717,a,a,1,1,42.917262,-87.976379,1189,US Oil
17700 Indian Ave,Moreno Valley,CA,92551,562-493-2804,a,a,1,1,33.86373,-117.232,51597,Clean Energy - Waste Management - Moreno Valley - Public Access
1224 Hayes Blvd,Bristol,PA,19007,800-950-3835,a,a,1,1,40.121981,-74.8564544,50050,Clean N' Green - Waste Management
421 S Garland Rd,Enid,OK,73703,888-609-2410  800-664-5463,a,a,1,1,36.393239,-97.942047,748,Oklahoma Natural Gas - Enid Service Center
757 S Anderson Rd,Rock Hill,SC,29730,803-325-2500,a,a,1,1,34.92142,-80.9928,39193,City of Rock Hill - Public Access
115 Duke St,Greer,SC,29650,864-449-2515,a,a,1,1,34.9374948,-82.2335566,47295,Greer Commission of Public Works - Public Access
2425 S 35th St,Milwaukee,WI,53215,920-243-5717,a,a,1,1,42.999843,-87.959232,1151,US Oil
2100 County Rd B,Menomonie,WI,54751,800-490-4915,a,a,1,1,44.886191,-91.8550326,43525,US Oil - Cennex
2611 Greengate Dr,Greensboro,NC,27406,336-271-5030,a,a,1,1,36.025072,-79.796413,18935,Piedmont Natural Gas - Greensboro - Public Access Front
6001 Cornhusker Hwy,Lincoln,NE,68507,402-464-0110,a,a,1,1,40.8622629,-96.637759,53320,Sapp Bros Travel Center
2501 Lafayette Rd,Crawfordsville,IN,47933,765-362-4770,a,a,1,1,40.0753083,-86.9055284,48004,Sunoco - Midwest Clean Fuel
11 S Treaty Rd,Miami,OK,74354,888-609-2410  800-664-5463,a,a,1,1,36.8747173,-94.8417642,20922,Oklahoma Natural Gas - Miami Service Center
350 Industrial Way,Woodland,CA,95776,800-920-1166,a,a,1,1,38.678131,-121.7534326,27977,Trillium CNG - Yolo County Transportation District
350 Sumac Rd,Wheeling,IL,60090,847-520-7306  800-950-3835,a,a,1,1,42.119053,-87.899009,41083,Clean N' Green - Waste Management
415 Cox Rd,Marshall,TX,75672,,a,a,1,1,32.4968443,-94.3572921,52213,Peake Fuel Solutions
2580 E Texas St,Bossier City,LA,71111,318-741-8441,a,a,1,1,32.527856,-93.714648,36549,City of Bossier City
1755 Trigreen Dr,Athens,AL,35611,256-434-6122,a,a,1,1,34.819781,-86.941039,52482,City of Athens Gas Department - Public Access
100 Woodruff Industrial Ln,Greenville,SC,29607,864-505-6448,a,a,1,1,34.8292379,-82.3090487,897,Piedmont Natural Gas - Greenville - Public Access
5821 Green Valley Rd,Oshkosh,WI,54904,920-232-1278,a,a,1,1,44.10085,-88.541833,52506,Kwik Trip #871
28273 Alta Vista Ave,Santa Clarita,CA,91355,888-732-6487  562-493-2804,a,a,1,1,34.448811,-118.575108,32422,Clean Energy - City of Santa Clarita
4809 S 101 E Ave,Tulsa,OK,74146,918-641-2583,a,a,1,1,36.0937001,-95.863729,32671,Blue Energy Fuels - Tulsa Gas Technologies
1618 Velp Ave,Green Bay,WI,54303,920-498-0298,a,a,1,1,44.548802,-88.047439,52215,US Oil - Express Convenience Center
1101 2nd St,Berkeley,CA,94710,800-920-1166,a,a,1,1,37.880951,-122.306,27973,Trillium CNG - City of Berkeley
1501 W Main Ave,De Pere,WI,54115,920-983-9235  800-920-1166,a,a,1,1,44.452956,-88.093299,44591,Trillium HD - De Pere Superstore
131 Pittman Rd,Longview,TX,75602,903-753-0242,a,a,1,1,32.4531285,-94.7055775,52500,Independence Fuel Systems
142 S Main St,Glassboro,NJ,8028,603-410-2252,a,a,1,1,39.69743,-75.1119,42091,Clean Energy - South Jersey Gas
725 S Lexington St,Delano,CA,93215,661-721-3350,a,a,1,1,35.749926,-119.241121,12841,City of Delano - Public Access
2100 S Harbor Blvd,Anaheim,CA,92802,562-493-7124  562-493-2804,a,a,1,1,33.795941,-117.914656,36292,Clean Energy - Anaheim-Valero Station
50 Genesis Blvd,Bridgeport,WV,26330,877-742-4476,a,a,1,1,39.3215404,-80.2292106,53009,IGS Energy CNG Services - Bridgeport
305 W Dekora St,Saukville,WI,53080,262-284-6100,a,a,1,1,43.381818,-87.946569,20933,Tri Par Oil Co - BP
1220 Andersen Dr,San Rafael,CA,94901,800-684-4648,a,a,1,1,37.951236,-122.499682,827,PG&E San Rafael Service Center
2635 N Freeway Dr,Cedar City,UT,84721,435-559-0905,a,a,1,1,37.7257056,-113.0558667,60210,JR's Truck Stop
2920 Silver Star Rd,Orlando,FL,32808,312-300-6703,a,a,1,1,28.5780873,-81.4213589,53626,AMP Trillium
350 S Queen St,Dover,DE,19904,302-734-6700,a,a,1,1,39.1555622,-75.5288545,1294,Chesapeake Utilities - Queen Street
3180 College Ave,State College,PA,16801,814-234-3933,a,a,1,1,40.7594401,-77.8768551,45351,Lehigh Gas - Exxon
301 W Ferguson,Wood River,IL,62095,800-936-6770,a,a,1,1,38.8604916,-90.1018053,60426,Great River Energy
4118 Shrewsbury Ave,Saint Louis,MO,63119,314-342-0863,a,a,1,1,38.598614,-90.323459,440,Laclede Gas Co - Shrewsbury Facility
102 W Coplin St,Okemah,OK,74859,918-623-2024,a,a,1,1,35.420886,-96.300164,42593,Love's Country Store #274
80 Ella Grasso Tpk,Windsor Locks,CT,6096,562-493-2804  860-627-8010,a,a,1,1,41.920173,-72.671484,36301,Clean Energy - Hartford Bradley Airport Shell
3424 N Perkins Rd,Stillwater,OK,74075,888-609-2410  800-664-5463,a,a,1,1,36.157396,-97.052954,22720,Oklahoma Natural Gas - Stillwater Service Center
17121 Nichols St,Huntington Beach,CA,92647,714-847-3581,a,a,1,1,33.7131946,-117.9957105,33387,Rainbow Disposal - Public Access
12600 State Route 66,Clarion,PA,16214,814-226-9410,a,a,1,1,41.1729864,-79.3417786,48908,Palo CNG
474 Reuter Blvd,Towanda,PA,18848,570-265-6380,a,a,1,1,41.7693656,-76.4794435,50649,Dandy Mini-Mart
227 McCarty Rd,Houston,TX,77029,562-493-2804,a,a,1,1,29.7866852,-95.2805827,333,Clean Energy - O'Rourke
3400 E I St,Long Beach,CA,90813,562-493-2804,a,a,1,1,33.78311,-118.222,35073,Clean Energy - Port of Long Beach
1100 S 27th St,Richmond,CA,94804,800-684-4648,a,a,1,1,37.9163999,-122.3436004,826,PG&E Richmond Service Center
705 E Ajo Way,Tucson,AZ,85713,800-920-1166,a,a,1,1,32.1777933,-110.9797187,46346,Trillium CNG - Golden Eagle - Tucson
320 Curtis Sykes Dr,North Little Rock,AR,72114,501-975-8833,a,a,1,1,34.7682377,-92.2645797,36291,City of North Little Rock
17699 S Muskogee Ave,Tahlequah,OK,74464,918-456-5578,a,a,1,1,35.891778,-94.977075,42094,Conoco Outpost Convenience Store
1111 W Chestnut Expy,Springfield,MO,65802,417-864-1955,a,a,1,1,37.2142774,-93.3046999,36777,City of Springfield
15700 W Small Rd,New Berlin,WI,53151,262-641-7452,a,a,1,1,42.9445371,-88.1098977,53327,Kwik Trip #499
831 Liberty Hill Dr,Evergreen,AL,36401,251-578-9439,a,a,1,1,31.446702,-86.9545847,32166,Evergreen Chevron - South Alabama Gas
19425 28th Ave S,SeaTac,WA,98188,800-663-4555  888-732-6487,a,a,1,1,47.427122,-122.2979878,23203,Clean Energy - Seattle-Tacoma International Airport
Rural Route 6,Stilwell,OK,74960,918-696-4177,a,a,1,1,35.841767,-94.632369,50648,NOPFA - Stilwell
390 Griffin St,Salinas,CA,93901,800-684-4648,a,a,1,1,36.6713108,-121.6409969,809,PG&E Salinas Service Center
515 S Main St,Elk City,OK,73644,580-225-0301,a,a,1,1,35.4056588,-99.4052835,30616,Hutchinson Oil Co
200 Green St,Parachute,CO,81635,866-251-0032,a,a,1,1,39.455411,-108.050567,49543,Encana - Parachute
3000 Parkway Blvd,West Valley City,UT,84119,801-538-3440  800-678-3440,a,a,1,1,40.7122329,-111.960621,23218,Granite School District
1001 Broadway St,Denver,CO,80204,562-493-2804,a,a,1,1,39.73233,-104.988,635,Clean Energy - Valero #4086
6400 Maysville Pk,Zanesville,OH,43701,216-986-9999,a,a,1,1,39.8727418,-82.1015401,41695,Quasar
550 Southrock Dr,Rockford,IL,61102,800-920-1166,a,a,1,1,42.2250955,-89.1142307,50261,Trillium CNG - South Rock Mobil
7155 1st St,Oak Creek,WI,53154,800-920-1166,a,a,1,1,42.914527,-87.914226,53645,EVO First Street - Oak Creek WI
7640 Esters Blvd,Irving,TX,75063,562-493-2804,a,a,1,1,32.91089,-97.006308,36282,Clean Energy - Dallas/Fort Worth Airport North
2400 E College Ave,Cudahy,WI,53110,847-668-5192,a,a,1,1,42.930379,-87.879766,1186,Falcon Fuel
700 E 16th St,New York,NY,10009,212-460-6708,a,a,1,1,40.7297189,-73.9746939,125,Con Edison - E 16th Street Service Center
1009 State Route 839,Dayton,PA,16222,814-257-8485,a,a,1,1,40.854398,-79.2349799,53765,White Oak Farms Inc
131 Brainard Rd,Hartford,CT,6114,860-278-7044,a,a,1,1,41.7368759,-72.6598269,248,Shell
6875 Consolidated Way,San Diego,CA,92121,213-244-5681,a,a,1,1,32.8776884,-117.1678413,951,SDG&E Service Center - Miramar Yard
14201 McArt Rd,Victorville,CA,92392,760-241-6365,a,a,1,1,34.5087602,-117.3323136,12799,City of Victorville
515 E Verot School Rd,Lafayette,LA,70505,918-491-4900,a,a,1,1,30.1803055,-91.997083,42584,Apache Lafayette
5011 S Vandalia Ave,Tulsa,OK,74135,713-296-6000,a,a,1,1,36.0898018,-95.9244528,42595,Apache Tulsa
4 Burnett Blvd,Poughkeepsie,NY,12603,866-278-3674  845-431-5908,a,a,1,1,41.693886,-73.890567,32794,Clean Energy - New York State Office of General Services
3350 John Bangs Dr,Ontario,CA,91761,562-493-2804,a,a,1,1,34.060911,-117.578862,35131,Clean Energy - Ontario International Airport (ONT)
1674 W 1100 S,Brigham City,UT,84302,435-723-9999  801-324-3900,a,a,1,1,41.48634,-112.043,33204,LW's Travel Plaza
1037 S Hatcher St,City of Industry,CA,91748,800-442-6454,a,a,1,1,34.003413,-117.924743,34320,Valley Vista Services
689 Hodges Dr,Mantachie,MS,38855,662-282-4261,a,a,1,1,34.324011,-88.49202,51879,Northeast Mississippi Natural Gas District
2618 Hendersonville Rd,Arden,NC,28704,828-654-8300,a,a,1,1,35.447587,-82.507719,32226,NC - CNG
1450 Country Club Dr,Jackson,MS,39209,800-950-3835,a,a,1,1,32.347881,-90.248153,53760,Clean N' Green - Waste Management
490 N 1500 W,Orem,UT,84057,801-324-5111  307-783-4934,a,a,1,1,40.3063492,-111.7312111,28177,Sinclair
28662 Camino Capistrano,San Juan Capistrano,CA,92675,949-365-9027,a,a,1,1,33.54745,-117.67385,35007,Arco - Go Natural Gas
755 Beechnut Dr,Pittsburgh,PA,15205,888-378-8646,a,a,1,1,40.453507,-80.085371,36311,Giant Eagle GetGo
287 Maspeth Ave,Brooklyn,NY,11211,718-963-5495,a,a,1,1,40.7180542,-73.931507,108,Clean Energy - National Grid Greenpoint Energy Center
