Station Name,Street Address,City,ZIP,Latitude,Longitude,ID
Questar Gas - Salt Lake City,1150 W 200 S,Salt Lake City,84104,40.764976,-111.922291,528
Questar Gas - LW's Conoco,1050 W 200 N,Logan,84321,41.734633,-111.861488,548
Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Price,84501,39.586805,-110.813433,558
Questar Gas - Chevron,1375 N Main St,Richfield,84701,38.786621,-112.084147,569
X3Energy,3103 N Industrial Way,Castle Rock,80104,39.407087,-104.872002,633
Clean Energy - Denver International Airport Rental Car,27700 E 78th Ave,Denver,80249,39.83765605,-104.6805,648
Clean Energy - Albany - National Grid,1125 Broadway,Menands,12204,42.667569,-73.739345,703
Oklahoma Natural Gas - Southside Service Center,412 SE 59th St,Oklahoma City,73129,35.406042,-97.503367,740
Oklahoma Natural Gas - Southern Oklahoma Development Association,1995 Veterans Blvd,Ardmore,73401,34.185103,-97.107574,743
Oklahoma Natural Gas - Enid Service Center,421 S Garland Rd,Enid,73703,36.393246,-97.942055,748
EZ Go #53,Mile 178 Turner Turnpike,Stroud,74079,35.751753,-96.689896,752
Oklahoma Natural Gas - Tulsa Service Center,5848 E 15th St,Tulsa,74112,36.13876,-95.911286,755
Oklahoma Natural Gas - Muskogee Service Center,2616 Border Ave,Muskogee,74401,35.740689,-95.396141,765
Oklahoma Natural Gas - Ponca City Service Center,2205 N Ash St,Ponca City,74601,36.730008,-97.093765,767
Oklahoma Natural Gas - Shawnee Service Center,1444 N Kickapoo St,Shawnee,74801,35.346744,-96.930096,768
Clean Energy - Plymouth,680 Ridge Pike,Plymouth Meeting,19462,40.080572,-75.252389,787
PG&E - Grass Valley Service Center,788 Taylorville Rd,Grass Valley,95949,39.20062,-121.062126,792
United Parcel Service,4500 Norris Canyon Rd,San Ramon,94583,37.773172,-121.968239,797
PG&E - Santa Cruz Service Center,615 7th Ave,Santa Cruz,95062,36.969267,-121.999295,798
PG&E - Bakersfield Service Center,4101 Wible Rd,Bakersfield,93313,35.317617,-119.039048,801
PG&E - Fresno Service Center,3754 E California Ave,Fresno,93725,36.72136,-119.761165,806
PG&E - Salinas Service Center,390 Griffin St,Salinas,93901,36.67217,-121.641106,809
PG&E - San Carlos Service Center,275 Industrial Way,San Carlos,94070,37.51689165,-122.2624653,810
PG&E - San Francisco Service Center,536 Treat Ave,San Francisco,94110,37.761127,-122.41383,813
PG&E - Concord Service Center,1030 Detroit Ave,Concord,94518,37.956072,-122.028697,816
PG&E - Hayward Service Center,24300 Clawiter Rd,Hayward,94545,37.642339,-122.117821,818
PG&E - Richmond Service Center,1100 S 27th St,Richmond,94804,37.916909,-122.344036,826
PG&E - San Rafael Service Center,1220 Andersen Dr,San Rafael,94901,37.951236,-122.499682,827
PG&E - Cupertino Service Center,10900 N Blaney Ave,Cupertino,95014,37.335646,-122.021398,828
PG&E - Stockton Service Center,4040 West Ln,Stockton,95204,37.990624,-121.283787,832
PG&E - Santa Rosa Service Center,3965 Occidental Rd,Santa Rosa,95401,38.428592,-122.766929,834
PG&E - Auburn Service Center,333 Sacramento St,Auburn,95603,38.888863,-121.074465,835
PG&E - Davis Service Center,1415 2nd St,Davis,95616,38.545155,-121.731878,836
PG&E - Florin-Perkins Service Center,5555 Florin-Perkins Rd,Sacramento,95826,38.526151,-121.388438,842
City of Milton,5162 Munson Hwy,Milton,32570,30.633284,-87.041286,864
Piedmont Natural Gas - Greenville,100 Woodruff Industrial Ln,Greenville,29607,34.829494,-82.310005,897
PSNC Energy,2712 Discovery Dr,Raleigh,27616,35.860856,-78.594331,907
San Diego Gas and Electric - Carlsbad,602 Cannon Rd,Carlsbad,92008,33.13411446,-117.3323437,942
Poway Unified School District,13626 Twin Peaks Rd,Poway,92064,32.978339,-117.034924,945
San Diego Gas and Electric Service Center - Miramar Yard,6875 Consolidated Way,San Diego,92121,32.876295,-117.166362,951
San Diego Gas and Electric Service Center - San Diego,5488 Overland Ave,San Diego,92123,32.833537,-117.132811,952
Clean Energy - Waste Management - Moreno Valley,17700 Indian Ave,Moreno Valley,92551,33.862772,-117.234706,982
Clean Energy - Santa Monica SoCal Gas,1701 Stewart St,Santa Monica,90404,34.030601,-118.465876,995
Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,Whittier,90601,34.025657,-118.031019,997
SoCalGas - Pico Rivera Base,8101 S Rosemead Blvd,Pico Rivera,90660,33.968221,-118.109093,1000
SoCalGas - San Pedro Base,755 W Capitol Dr,Los Angeles,90731,33.758315,-118.293979,1002
SoCalGas - Van Nuys Base,16645 Saticoy St,Los Angeles,91406,34.209219,-118.496403,1006
City of Covina - City Corporate Yard,534 N Barranca Ave,Covina,91723,34.091688,-117.87986,1009
SunLine Transit Agency,32-505 Harry Oliver Trail,Thousand Palms,92276,33.812361,-116.395444,1014
SoCalGas - Riverside Base,3077 Cottage St,Riverside,92507,33.971694,-117.371722,1016
SoCalGas - Garden Grove Base,12698 Industry St,Garden Grove,92841,33.778966,-118.007908,1017
Clean Energy - Irvine City Yard,6427 Oak Canyon,Irvine,92618,33.676026,-117.764558,1022
SoCalGas - Oxnard Base,1650 Patton Ct,Oxnard,93030,34.191405,-119.161215,1025
Revolution CNG - JB Dewar Inc,75 Prado Rd,San Luis Obispo,93401,35.254197,-120.670939,1029
Clean Energy - RTC Losee,3333 Losee Rd,North Las Vegas,89124,36.220567,-115.125553,1083
Virginia Natural Gas - Lance Rd,1184 Lance Rd,Norfolk,23502,36.864044,-76.217318,1108
Virginia Natural Gas - VNG Office,746 Diligence Dr,Newport News,23606,37.083023,-76.463112,1110
Montgomery County Government - Gaithersburg Highway Fuel Site,17000 Crabbs Branch Way,Derwood,20855,39.132781,-77.172278,1130
Memphis Light Gas and Water - North Center,1130 Tupelo St,Memphis,38108,35.166531,-89.972823,1215
Clean Energy - Lindbergh Field Shell,2521 Pacific Hwy,San Diego,92101,32.729925,-117.173535,1226
Clean Energy - Los Angeles International Airport,10400 Aviation Blvd,Los Angeles,90045,33.941383,-118.377866,1251
Oklahoma Natural Gas - Okmulgee Service Center,2018 S Wood Dr,Okmulgee,74447,35.602719,-95.962047,1264
Washington Elementary School District,12641 N 39th Ave,Phoenix,85029,33.6013089,-112.1419547,1286
PG&E - Chico Service Center,11239 Midway,Chico,95928,39.710548,-121.812671,1347
PG&E - Vacaville Service Center,158 Peabody Rd,Vacaville,95687,38.3509,-121.977342,1349
SunLine Transit Agency,83-255 Highway 111,Indio,92201,33.714919,-116.211564,1352
SoCalGas - Energy Resource Center,9240 E Firestone Blvd,Downey,90241,33.932994,-118.119479,1353
Trillium - Southern California Gas Co,1919 S State College Blvd,Anaheim,92806,33.801121,-117.889388,1354
SoCalGas - Compton Base,1471 E Elm St,Compton,90221,33.899899,-118.207088,1361
City of Ontario - City Yard,1440 S Cucamonga St,Ontario,91761,34.047068,-117.634077,1370
Clean Energy - Palm Springs International Airport,3400 E Tahquitz Canyon Way,Palm Springs,92262,33.823151,-116.508135,1380
United Parcel Service,1735 S Turner Ave,Ontario,91761,34.042311,-117.584572,7037
Clean Energy - City of Tulare,3989 S K St,Tulare,93274,36.169487,-119.338155,7041
Oklahoma Natural Gas - Broken Arrow Service Center,2421 S 1st Pl,Broken Arrow,74012,36.023112,-95.786303,7108
Norwich Public Utilities,157 N Main St,Norwich,6360,41.527246,-72.064419,7119
Clean Energy - Cockrell Hill,2005 S Cockrell Hill Rd,Dallas,75211,32.723948,-96.893853,12767
Oklahoma Natural Gas - Norman Service Center,605 N Berry Rd,Norman,73069,35.225601,-97.458827,12781
Oklahoma Natural Gas - Pauls Valley Service Center,1701 W Airline Rd,Pauls Valley,73075,34.707522,-97.242035,12783
Oklahoma Natural Gas - CNG Maintenance Facility,1028 N Preston,Davenport,74026,35.7140876,-96.7681766,12784
Oklahoma Natural Gas - Sapulpa Service Center,410 S Hawthorne St,Sapulpa,74066,35.993424,-96.127984,12786
City of Victorville,14201 McArt Rd,Victorville,92392,34.508713,-117.332343,12799
Fountain Valley - Orange County Sanitation District,10844 Ellis Ave,Fountain Valley,92708,33.691565,-117.939438,12826
Whittier Union High School District,13200 Mulberry Dr,Whittier,90602,33.954901,-118.045014,12832
SoCalGas - Santa Barbara Base,219 N Quarantina St,Santa Barbara,93103,34.421443,-119.684178,12839
Kings Canyon Unified School District,1600 S Apple Ave,Reedley,93654,36.590599,-119.4258,12840
City of Delano,725 S Lexington St,Delano,93215,35.75191,-119.240762,12841
DTE Energy - Coolidge,14270 Schaefer Hwy,Detroit,48227,42.392613,-83.177738,12847
Rogue Valley Transportation District,3200 Crater Lake Ave,Medford,97504,42.36317,-122.85563,18888
Alternative Vehicle Service Group - Tewksbury,20 Main St,Tewksbury,1876,42.629512,-71.270846,18892
Alternative Vehicle Service Group - Lexington,Route 128 N,Lexington,2421,42.446147,-71.255103,18893
Clean Energy - Riverhead - National Grid,117 Doctors Path,Riverhead,11901,40.940028,-72.652774,18898
Clean Energy - Hewlett - National Grid,455 Mill Rd,Valley Stream,11581,40.648881,-73.707638,18900
Clean Energy - Seal Beach,3101 N Gate Rd,Seal Beach,90740,33.773004,-118.077029,18929
City of Victorville,16690 D St,Victorville,92395,34.53939073,-117.2961996,18943
Gas Technology Institute,1700 S Mount Prospect Rd,Des Plaines,60018,42.018189,-87.922158,19143
Clean Energy - University of New Mexico,1140 University Blvd NE,Albuquerque,87102,35.095006,-106.6241186,20888
Alternative Vehicle Service Group - Middleborough,12 Harding St Route 44,Middleborough,2346,41.901602,-70.975499,20905
DTE Energy - Lynch,11043 French Rd,Detroit,48234,42.408541,-83.010061,20914
Oklahoma Natural Gas - Guthrie Service Center,205 Sigma Pl,Guthrie,73044,35.858586,-97.425416,20916
Oklahoma Natural Gas - Mustang Service Center,680 E State Highway 152,Mustang,73064,35.391472,-97.711691,20917
Oklahoma Natural Gas - Clinton Service Center,500 W Commerce,Clinton,73601,35.479669,-98.983451,20918
Oklahoma Natural Gas - Bartlesville Service Center,3601 NE Indiana St,Bartlesville,74006,36.764066,-95.936657,20920
Oklahoma Natural Gas - Claremore Service Center,1449 SW Country Club Rd,Claremore,74017,36.292974,-95.628285,20921
Oklahoma Natural Gas - Miami Service Center,11 S Treaty Rd,Miami,74354,36.874317,-94.841332,20922
United Parcel Service,1825 W McKinley Ave,Fresno,93728,36.764688,-119.832131,20923
Trillium - City of Thousand Oaks,1993 Rancho Conejo Blvd,Thousand Oaks,91320,34.206237,-118.933606,20976
Trillium - Mount Diablo Unified School District,2352 Bisso Ln,Concord,94520,37.982071,-122.046184,21660
Clean Energy - Dallas Fort Worth Airport South,2474 N Employee Rd,Grapevine,76051,32.876733,-97.039256,21975
California Clean Fuels,15330 Woodruff Ave,Bellflower,90706,33.893124,-118.117101,21985
Oklahoma Natural Gas - Tulsa Service Center West,7002 S Union Ave,Tulsa,74132,36.060878,-96.011698,22718
Oklahoma Natural Gas - Tillman's Producers Co-op,507 S Main St,Frederick,73542,34.384494,-99.017316,22719
Oklahoma Natural Gas - Stillwater Service Center,3424 N Perkins Rd,Stillwater,74075,36.157402,-97.052963,22720
Clean Energy - Seattle-Tacoma International Airport,19425 28th Ave S,SeaTac,98188,47.42816,-122.2995,23203
Questar Gas - Flying J Travel Plaza - Springville,1460 N 1750 W,Springville,84663,40.187357,-111.640443,23211
Questar Gas - 7-Eleven,7953 S Airport Rd,West Jordan,84088,40.607539,-111.996214,23212
Salt Lake City International Airport,600 N 3700 W,Salt Lake City,84116,40.781373,-111.979973,23213
Dominion Energy - City of Murray,4646 S 500 W,Murray,84123,40.671518,-111.906969,23219
City of Corona,430 N Cota St,Corona,92880,33.886895,-117.571608,25425
City of Riverside,8095 Lincoln Ave,Riverside,92504,33.92399216,-117.4119492,25437
Clean Energy - San Francisco Airport,790 N McDonnell Rd,San Francisco,94128,37.63281472,-122.398352,25483
Trillium,4915 W Industrial Blvd,Midland,79703,31.962765,-102.134214,25598
SoCalGas - Azusa Base,950 N Todd Ave,Azusa,91702,34.138664,-117.923766,25600
Trillium - City of Placentia Corporate Yard,2999 E La Jolla St,Placentia,92806,33.860704,-117.865217,25601
PSNC Energy,800 Gaston Rd,Gastonia,28056,35.251751,-81.094667,25673
SoCalGas - Lancaster Base,44416 N Division St,Lancaster,93535,34.689589,-118.130371,25763
Oklahoma Natural Gas - Anadarko Service Center,1700 E Central,Anadarko,73005,35.072194,-98.214673,25880
Clean Energy - City of Burbank,810 N Lake St,Burbank,91502,34.182925,-118.319347,26305
Clean Energy - ARCO Cathedral City,36001 Date Palm Dr,Cathedral City,92234,33.786385,-116.458765,26306
Clean Energy - Desert Hot Springs Mission Springs Water District,14501 Park Ln,Desert Hot Springs,92240,33.9432378,-116.4977441,26307
Clean Energy - 21st Century Oil - Garden Grove,12931 Garden Grove Blvd,Garden Grove,92843,33.775099,-117.906743,26308
PG&E - Marysville Service Center,18 7th St,Marysville,95901,39.143012,-121.583657,26310
Clean Energy - Pasadena - Southern California Gas Co Base,3528 E Foothill Blvd,Pasadena,91107,34.149215,-118.077389,26312
Clean Energy - Yucca Valley - Park n Ride Transit Facility,7485 Kickapoo Trail,Yucca Valley,92284,34.118101,-116.45646,26314
Clean Energy - Oakland International Airport,7855 Earhart Rd,Oakland,94621,37.73137,-122.212097,26554
Clean Energy - Dallas Service Center,1616 Baylor St,Dallas,75226,32.780992,-96.775202,26654
Clean Energy - Dallas - Love Field Airport,8010 Denton Dr,Dallas,75235,32.83931674,-96.85319535,26655
Southwest Transportation Agency,16644 S Elm Ave,Caruthers,93609,36.492055,-119.791174,26821
Clean Energy - Phoenix Sky Harbor Airport - Rental Car Center,2425 E Buckeye Rd,Phoenix,85034,33.435372,-112.033427,27026
Bluewater Area Transit,2021 Lapeer Ave,Port Huron,48060,42.977443,-82.447928,27653
Trillium - City of Berkeley,1101 2nd St,Berkeley,94710,37.88175,-122.306259,27973
Trillium - City of Visalia,439 N Cain St,Visalia,93292,36.333091,-119.274467,27975
Trillium - Visalia Unified School District,2425 W Houston Ave,Visalia,93291,36.341706,-119.318959,27976
City of Asheville,45 McCormick Pl,Asheville,28801,35.588154,-82.550899,28133
Dominion Energy - Sinclair,524 N 1500 W,Orem,84057,40.306765,-111.730637,28177
Victor Valley Transit Authority,100 N Sandstone Ct,Barstow,92311,34.886448,-117.079423,28523
Clean Energy - Downtown Tucson,1744 E Winsett St,Tucson,85719,32.214451,-110.945473,29168
Robertson's Palmdale Honda,455 Auto Vista Dr,Palmdale,93551,34.59343,-118.139497,29350
Alternative Vehicle Service Group - Walpole,533 High Plain St,Walpole,2081,42.139911,-71.21695,30355
Clean Energy - Canoga Park,7711 Canoga Ave,Canoga Park,91304,34.209938,-118.597508,30618
Clean Energy - Los Angeles Sanitation District,23924 Figueroa St,Carson,90745,33.807567,-118.284438,30619
Clean Energy - University of California Los Angeles,741 Charles E Young Dr,Los Angeles,90095,34.067097,-118.447096,30620
Trillium - City of Austin,2400 Business Center Dr,Austin,78744,30.213718,-97.738941,30622
Trillium,550 Milam St,Beaumont,77701,30.077123,-94.095962,30623
Clean Energy - Long Beach Gas and Oil Department,2400 E Spring St,Long Beach,90755,33.81125792,-118.1627843,30626
Clean Energy - Santa Ana - SoCal Gas Base,3210 Maple St,Santa Ana,92707,33.703906,-117.863732,30628
Clean Energy - San Leandro,8515 San Leandro St,Oakland,94621,37.746023,-122.188974,30629
Clean Energy - Port of Oakland,209 Brush St,Oakland,94607,37.798995,-122.28338,30630
PG&E - Merced Service Center,624 W 15th St,Merced,95340,37.299692,-120.486137,30832
Clean Energy - Pomona Foothill Transit,1670 E 1st St,Pomona,91766,34.059216,-117.722362,30833
Kakco,4355 Lafayette Blvd,Indianapolis,46254,39.834688,-86.25018,31839
Birmingham Jefferson County Transit Authority,3105 8th Ave N,Birmingham,35203,33.528486,-86.794315,32154
NC CNG,2618 Hendersonville Rd,Arden,28704,35.44761,-82.507734,32226
Clean Energy - City of Santa Clarita,28283 Alta Vista Ave,Santa Clarita,91355,34.448887,-118.576562,32422
Kern County Superintendent of Schools,705 S Union Ave,Bakersfield,93307,35.347789,-119.002508,32513
City of San Bernardino,187 S Pershing Ave,San Bernardino,92408,34.098543,-117.288482,32669
Oklahoma Natural Gas - Tulsa North Service Center,4821 E 66th St N,Tulsa,74117,36.250159,-95.921194,32670
Blue Energy Fuels - Tulsa Gas Technologies,4809 S 101 E Ave,Tulsa,74146,36.093705,-95.863764,32671
Trillium,717 S Sylvania Ave,Sturtevant,53177,42.725613,-87.955958,32724
City of Riverside,5961 Acorn St,Riverside,92504,33.96068,-117.454372,32831
Questar Gas - LW's Travel Plaza,1674 W 1100 S,Perry,84302,41.485609,-112.057813,33204
Questar Gas - RB's Fuel Stop - Phillips 66,527 S 700 W,Woods Cross,84087,40.883673,-111.898809,33205
PG&E - Los Banos Service Center,940 I St,Los Banos,93635,37.058724,-120.843011,33323
Republic Services - Rainbow Disposal,17121 Nichols Ln,Huntington Beach,92647,33.71397,-117.996294,33387
City of San Fernando,120 N Macneil St,San Fernando,91340,34.283588,-118.43876,33425
Vectren Energy Delivery Eco-Fuel Center,1 N Main St,Evansville,47711,37.978725,-87.562598,33426
Airport Mart - Mobil,5979 S Howell Ave,Milwaukee,53207,42.935799,-87.910313,33428
Clean Energy - City of Glendale,1713 Gardena Ave,Glendale,91204,34.123436,-118.258072,33533
Clean Energy - College Park,4555 Edison Dr,College Park,30337,33.632374,-84.465773,33716
Clean Energy - Will Rogers World Airport,4424 Amelia Earhart Ln,Oklahoma City,73159,35.406026,-97.600694,33898
Clean Energy - Oklahoma State University,2221 W Lakeview Dr,Stillwater,74075,36.144924,-97.086989,33899
Clean N' Green,149 SW Kenyon St,Seattle,98108,47.531286,-122.336979,34206
Piedmont Natural Gas - Charlotte,112 Verbena St,Charlotte,28217,35.184065,-80.880391,34315
Valley Vista Services,1037 S Hatcher St,City of Industry,91748,34.003413,-117.924743,34320
Riverside Transit Agency - Hemet,700 Scaramella Cir,Hemet,92545,33.735948,-117.011173,34321
Clean Energy - La Cienega,1004 S La Cienega Blvd,Los Angeles,90035,34.059388,-118.375858,34474
Clean Energy - Republic Services,11101 W Executive Dr,Boise,83713,43.608903,-116.319821,34475
City of Wasco,501 N F St,Wasco,93280,35.596857,-119.333783,34832
ARCO,28662 Camino Capistrano,San Juan Capistrano,92675,33.54765566,-117.6738178,35007
City of Burlington,645 Pine St,Burlington,5401,44.461715,-73.215217,35055
Dominion Energy - Evanston,38 Allegiance Cir,Evanston,82930,41.261358,-110.992557,35056
Clean Energy - Port of Long Beach,3400 I St,Wilmington,90744,33.78311,-118.222,35073
City of Porterville,555 N Prospect St,Porterville,93257,36.075856,-119.043996,35075
Clean Energy - Ontario International Airport,3350 John Bangs Dr,Ontario,91761,34.06075086,-117.5789393,35131
Clean Energy - Atlantic County Utilities Authority,6700 Delilah Rd,Egg Harbor Township,8234,39.417088,-74.538731,35309
Clean Energy - Austin Bergstrom International Airport,3100 1/2 Spirit of Texas Dr,Austin,78719,30.209023,-97.67202,35316
American Natural Gas - National Fuel - Buffalo,365 Mineral Springs Rd,Buffalo,14210,42.861455,-78.800352,35317
Clean Energy - Town of Brookhaven,350 Horseblock Rd,Yaphank,11980,40.800178,-72.921177,35318
Questar Gas - Chevron,40 N 6300 W,Hurricane,84737,37.161682,-113.434692,35385
Total Express,16401 N Rockwell Ave,Edmond,73013,35.637936,-97.639211,35418
Chickasaw Travel Stop,201 Latta Rd,Ada,74820,34.773291,-96.697633,35419
Clearwater Gas System,1020 N Hercules Ave,Clearwater,33765,27.975649,-82.75459,35593
Clean Energy - Orange County Public Works,2023 W Collins Ave,Orange,92867,33.803166,-117.874464,35598
Clean Energy - Newport Beach,592 Superior Ave,Newport Beach,92663,33.63214438,-117.9271508,35656
Clean Energy - University of California San Diego,9413 Voigt Dr,La Jolla,92093,32.881413,-117.229925,35685
Semi-Service,4285 W 1385 S,Salt Lake City,84104,40.739411,-111.992133,35699
Dominion Energy - Moab Service Center,2450 S Highway 191,Moab,84532,38.536757,-109.511772,35786
Christensen Oil - Sinclair,334 E Riverside Dr,St. George,84790,37.081594,-113.576795,35787
Pilot - Naples,1521 S 1500 E,Naples,84078,40.43341,-109.498603,35907
Questar Gas - Flying J Travel Plaza,1172 W 2100 S,Ogden,84401,41.229309,-112.00741,35936
Clean Energy - Anaheim - Valero Station,2100 S Harbor Blvd,Anaheim,92802,33.795746,-117.914556,36292
X3Energy,7984 US Highway 85,Fort Lupton,80621,40.115736,-104.81034,36294
X3Energy,103 Hill St,Kersey,80644,40.392048,-104.564368,36295
Clean Energy - Yellow Cab,86 Granby St,Bloomfield,6002,41.810889,-72.708142,36296
Clean Energy - Metro Taxi,65 Industry Dr,West Haven,6516,41.290827,-72.98485,36300
PS Energy - East Point,2192 Sylvan Rd,East Point,30344,33.694504,-84.417883,36303
DeKalb County - Seminole Road Landfill,4295 Clevemont Rd,Ellenwood,30294,33.652844,-84.253832,36304
PS Energy - Lithonia,2490 Lithonia Industrial Blvd,Lithonia,30058,33.712615,-84.125793,36305
PS Energy - Tucker,1833 Tucker Industrial Rd,Tucker,30084,33.83633282,-84.20252641,36306
Clean Energy - Atlantic City Jitney Association,6821 Delilah Rd,Egg Harbor Township,8406,39.410942,-74.53063,36309
Newark Liberty International Airport - Wally Park,100 Lindbergh Rd,Newark,7114,40.691831,-74.184861,36310
Giant Eagle - Ok Grocery,755 Beechnut Dr,Pittsburgh,15205,40.453507,-80.085371,36311
Questar Gas - Flying J Travel Plaza - Scipio,810 N 800 W,Scipio,84656,39.255065,-112.116282,36312
Ditch Witch of Alaska,1800 W 47th Ave,Anchorage,99517,61.178048,-149.916588,36497
City of Bossier City,2580 E Texas St,Bossier City,71111,32.527872,-93.714249,36549
Clean Energy - Republic Services,3015 E Comstock Ave,Nampa,83687,43.593304,-116.534414,36580
CNG Calumet,130 State St,Calumet City,60409,41.622812,-87.527426,36581
Public CNG - Henderson County,320 Williams St,Hendersonville,28792,35.317219,-82.453896,36582
City of Columbus - Fleet Management,4211 Groves Rd,Columbus,43232,39.930318,-82.885496,36584
Arkansas Oklahoma Gas Corp,4419 Main St,Arkoma,74901,35.3546799,-94.4373794,36586
OnCue Express #105 - C-Store,800 S Broadway,Edmond,73034,35.646197,-97.48204,36587
Van Eaton Ready Mix,3401 S Radio Rd,El Reno,73036,35.503479,-97.898682,36588
Love's Country Store #5,203 S Main St,Kingfisher,73750,35.859467,-97.932226,36589
OnCue Express #100 - C-Store,5900 W Reno Ave,Oklahoma City,73127,35.463717,-97.619498,36591
OnCue Express #101 - C-Store,1 NW 23rd St,Oklahoma City,73103,35.494079,-97.511596,36592
Clean Energy - Dallas Fort Worth Airport Rental Car Center,2425 Rental Car Rd,Irving,75261,32.852927,-97.036229,36622
Blue Energy Fuels - City of Owasso,101 S Main St,Owasso,74055,36.264897,-95.854698,36773
City of Grand Junction,2553 Riverside Pkwy,Grand Junction,81501,39.073697,-108.582361,36775
City of Bossier City,4520 Barksdale Blvd,Bossier City,71112,32.469998,-93.672804,36776
City of Springfield,1111 W Chestnut Expy,Springfield,65802,37.215692,-93.306068,36777
City of Socorro,3000 Old US Highway 85,Socorro,87801,33.984094,-106.887526,36778
Clean Energy - Town of Smithtown,85 Old Northport Rd,Kings Park,11754,40.873372,-73.274183,36779
Clean Energy - Downtown Dallas,100 N Riverfront Blvd,Dallas,75207,32.776989,-96.813018,37120
Clean Energy - Parking Spot Houston,15868 International Plaza Dr,Houston,77032,29.948337,-95.331203,37121
DTE Energy - Allen,3751 Greenfield Rd,Melvindale,48122,42.29332,-83.178201,37620
Washington City Fleet Facility,1305 Washington Dam Rd,Washington City,84780,37.110952,-113.486891,38055
I-80 Fuels,5318 L St,Omaha,68117,41.212816,-95.996957,38059
Metropolitan Utilities District,2615 S 64th Ave,Omaha,68106,41.235148,-96.011954,38060
Lincoln Airport Authority,3520 NW 36th St,Lincoln,68524,40.849302,-96.771971,38484
Clean Energy - Dillon Transport,4600 Irving Blvd,Dallas,75247,32.80764,-96.896592,38487
American Natural Gas,16038 Highway 65 S,Damascus,72039,35.382404,-92.390824,38654
Clean N' Green,1001 Fairview St,Camden,8104,39.914001,-75.108896,39060
PSNC Energy,4211 Global St,Raleigh,27610,35.782022,-78.563001,39189
City of Rock Hill,757 S Anderson Rd,Rock Hill,29730,34.923072,-80.991091,39193
Clean Energy - Riverside County Waste Management,1810 Agua Mansa Rd,Riverside,92509,34.02094,-117.385415,39196
York County Natural Gas Authority,975 W Main St,Rock Hill,29730,34.935622,-81.042552,39655
Davidson County,925 N Main St,Lexington,27292,35.831853,-80.243198,40081
Dominon Energy - Weber State University,4760 Old Post Rd,Ogden,84403,41.176663,-111.947811,40319
Clean Energy - Tampa International Airport,5001 N Westshore Blvd,Tampa,33614,27.991812,-82.523467,40323
DTE Energy - Padnos Iron and Metal,450 44th St SW,Wyoming,49548,42.884099,-85.676125,40831
DTE Energy - UBCR Inc/Schupan & Sons,4820 Holtz Dr,Wixom,48393,42.526187,-83.564626,40832
Clean Energy - City of Torrance,20450 Madrona Ave,Torrance,90503,33.845681,-118.344675,40851
Clean N' Green,1719 S Santa Fe St,Santa Ana,92705,33.724593,-117.853387,40876
Northeast Oklahoma Public Facilities Authority - Tahlequah,853 N Woodard Ave,Tahlequah,74464,35.92304,-95.001973,40878
Waste Management - Clean N' Green,350 Sumac Rd,Wheeling,60090,42.119053,-87.89901,41083
Questar Gas - Mountainland One Stop,1175 S Main St,Heber City,84032,40.493191,-111.412469,41084
