Station Name,Street Address,City,State,ZIP,Station Phone,Access Code,Groups With Access Code,Latitude,Longitude,ID
PG&E - Santa Cruz Service Center,615 7th Ave,Santa Cruz,CA,95062,800-684-4648,public,Public - Card key at all times,36.969267,-121.999295,798
PG&E - Bakersfield Service Center,4101 Wible Rd,Bakersfield,CA,93313,800-684-4648,public,Public - Card key at all times,35.317617,-119.039048,801
PG&E - Fresno Service Center,3754 E California Ave,Fresno,CA,93725,800-684-4648,public,Public - Card key at all times,36.72136,-119.761165,806
PG&E - Salinas Service Center,390 Griffin St,Salinas,CA,93901,800-684-4648,public,Public - Card key at all times,36.67217,-121.641106,809
PG&E - San Carlos Service Center,275 Industrial Way,San Carlos,CA,94070,800-684-4648,public,Public - Card key at all times,37.51689165,-122.2624653,810
PG&E - San Francisco Service Center,536 Treat Ave,San Francisco,CA,94110,800-684-4648,public,Public - Card key at all times,37.761127,-122.41383,813
PG&E - Concord Service Center,1030 Detroit Ave,Concord,CA,94518,800-684-4648,public,Public - Card key at all times,37.956072,-122.028697,816
PG&E - Hayward Service Center,24300 Clawiter Rd,Hayward,CA,94545,800-684-4648,public,Public - Card key at all times,37.642339,-122.117821,818
PG&E - Richmond Service Center,1100 S 27th St,Richmond,CA,94804,800-684-4648,public,Public - Card key at all times,37.916909,-122.344036,826
PG&E - San Rafael Service Center,1220 Andersen Dr,San Rafael,CA,94901,800-684-4648,public,Public - Card key at all times,37.951236,-122.499682,827
PG&E - Cupertino Service Center,10900 N Blaney Ave,Cupertino,CA,95014,800-684-4648,public,Public - Card key at all times,37.335646,-122.021398,828
PG&E - Stockton Service Center,4040 West Ln,Stockton,CA,95204,800-684-4648,public,Public - Card key at all times,37.990624,-121.283787,832
PG&E - Santa Rosa Service Center,3965 Occidental Rd,Santa Rosa,CA,95401,800-684-4648,public,Public - Card key at all times,38.428592,-122.766929,834
PG&E - Auburn Service Center,333 Sacramento St,Auburn,CA,95603,800-684-4648,public,Public - Card key at all times,38.888863,-121.074465,835
PG&E - Davis Service Center,1415 2nd St,Davis,CA,95616,800-684-4648,public,Public - Card key at all times,38.545155,-121.731878,836
PG&E - Florin-Perkins Service Center,5555 Florin-Perkins Rd,Sacramento,CA,95826,800-684-4648,public,Public - Card key at all times,38.526151,-121.388438,842
City of Milton,5162 Munson Hwy,Milton,FL,32570,850-983-5401,public,Public - Credit card after hours,30.633284,-87.041286,864
Piedmont Natural Gas - Greenville,100 Woodruff Industrial Ln,Greenville,SC,29607,800-752-7504,public,Public - Credit card at all times,34.829494,-82.310005,897
PSNC Energy,2712 Discovery Dr,Raleigh,NC,27616,877-776-2427,public,Public - Credit card at all times,35.860856,-78.594331,907
San Diego Gas and Electric - Carlsbad,602 Cannon Rd,Carlsbad,CA,92008,213-244-5681,public,Public - Credit card at all times,33.13411446,-117.3323437,942
Poway Unified School District,13626 Twin Peaks Rd,Poway,CA,92064,858-748-0010,public,Public - Credit card at all times,32.978339,-117.034924,945
San Diego Gas and Electric Service Center - Miramar Yard,6875 Consolidated Way,San Diego,CA,92121,213-244-5681,public,Public - Credit card at all times,32.876295,-117.166362,951
San Diego Gas and Electric Service Center - San Diego,5488 Overland Ave,San Diego,CA,92123,213-244-5681,public,Public - Credit card at all times,32.833537,-117.132811,952
Clean Energy - Waste Management - Moreno Valley,17700 Indian Ave,Moreno Valley,CA,92551,866-809-4869,public,Public - Credit card at all times,33.862772,-117.234706,982
Clean Energy - Santa Monica SoCal Gas,1701 Stewart St,Santa Monica,CA,90404,866-809-4869,public,Public - Credit card at all times,34.030601,-118.465876,995
Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,Whittier,CA,90601,562-908-4288  562-493-2804,public,Public - Credit card at all times,34.025657,-118.031019,997
SoCalGas - Pico Rivera Base,8101 S Rosemead Blvd,Pico Rivera,CA,90660,213-244-5681,public,Public - Credit card at all times,33.968221,-118.109093,1000
SoCalGas - San Pedro Base,755 W Capitol Dr,Los Angeles,CA,90731,213-244-5681,public,Public - Credit card at all times,33.758315,-118.293979,1002
SoCalGas - Van Nuys Base,16645 Saticoy St,Los Angeles,CA,91406,213-244-5681,public,Public - Credit card at all times,34.209219,-118.496403,1006
City of Covina - City Corporate Yard,534 N Barranca Ave,Covina,CA,91723,626-384-5480,public,Public - Credit card at all times,34.091688,-117.87986,1009
SunLine Transit Agency,32-505 Harry Oliver Trail,Thousand Palms,CA,92276,760-343-3456,public,Public - Credit card at all times,33.812361,-116.395444,1014
SoCalGas - Riverside Base,3077 Cottage St,Riverside,CA,92507,213-244-5681,public,Public - Card key at all times,33.971694,-117.371722,1016
SoCalGas - Garden Grove Base,12698 Industry St,Garden Grove,CA,92841,213-244-5681,public,Public - Credit card at all times,33.778966,-118.007908,1017
Clean Energy - Irvine City Yard,6427 Oak Canyon,Irvine,CA,92618,866-809-4869,public,Public - Credit card at all times,33.676026,-117.764558,1022
SoCalGas - Oxnard Base,1650 Patton Ct,Oxnard,CA,93030,213-244-5681,public,Public - Credit card at all times,34.191405,-119.161215,1025
Revolution CNG - JB Dewar Inc,75 Prado Rd,San Luis Obispo,CA,93401,805-238-0624,public,Public - Credit card at all times,35.254197,-120.670939,1029
Clean Energy - RTC Losee,3333 Losee Rd,North Las Vegas,NV,89124,866-809-4869,public,Public - Credit card at all times,36.220567,-115.125553,1083
Virginia Natural Gas - Lance Rd,1184 Lance Rd,Norfolk,VA,23502,757-466-5506,public,Public - Card key at all times,36.864044,-76.217318,1108
Virginia Natural Gas - VNG Office,746 Diligence Dr,Newport News,VA,23606,757-466-5506,public,Public - Card key at all times,37.083023,-76.463112,1110
Montgomery County Government - Gaithersburg Highway Fuel Site,17000 Crabbs Branch Way,Derwood,MD,20855,240-777-5730,public,Public - Credit card at all times,39.132781,-77.172278,1130
Memphis Light Gas and Water - North Center,1130 Tupelo St,Memphis,TN,38108,901-320-1062  901-320-1473,public,Public - Credit card at all times,35.166531,-89.972823,1215
Clean Energy - Lindbergh Field Shell,2521 Pacific Hwy,San Diego,CA,92101,866-809-4869,public,Public - Credit card at all times,32.729925,-117.173535,1226
Clean Energy - Los Angeles International Airport,10400 Aviation Blvd,Los Angeles,CA,90045,866-809-4869,public,Public - Credit card at all times,33.941383,-118.377866,1251
Oklahoma Natural Gas - Okmulgee Service Center,2018 S Wood Dr,Okmulgee,OK,74447,844-713-7987,public,Public - Credit card at all times,35.602719,-95.962047,1264
Washington Elementary School District,12641 N 39th Ave,Phoenix,AZ,85029,602-896-5270,public,Public - Credit card at all times,33.6013089,-112.1419547,1286
PG&E - Chico Service Center,11239 Midway,Chico,CA,95928,800-684-4648,public,Public - Card key at all times,39.710548,-121.812671,1347
PG&E - Vacaville Service Center,158 Peabody Rd,Vacaville,CA,95687,800-684-4648,public,Public - Card key at all times,38.3509,-121.977342,1349
SunLine Transit Agency,83-255 Highway 111,Indio,CA,92201,760-343-3456,public,Public - Credit card at all times,33.714919,-116.211564,1352
SoCalGas - Energy Resource Center,9240 E Firestone Blvd,Downey,CA,90241,213-244-5681,public,Public - Credit card at all times,33.932994,-118.119479,1353
Trillium - Southern California Gas Co,1919 S State College Blvd,Anaheim,CA,92806,800-920-1166,public,Public - Credit card at all times,33.801121,-117.889388,1354
SoCalGas - Compton Base,1471 E Elm St,Compton,CA,90221,213-244-5681,public,Public - Card key at all times,33.899899,-118.207088,1361
City of Ontario - City Yard,1440 S Cucamonga St,Ontario,CA,91761,909-395-2649,public,Public - Credit card at all times,34.047068,-117.634077,1370
Clean Energy - Palm Springs International Airport,3400 E Tahquitz Canyon Way,Palm Springs,CA,92262,866-809-4869,public,Public - Credit card at all times,33.823151,-116.508135,1380
United Parcel Service,1735 S Turner Ave,Ontario,CA,91761,909-827-9944,public,Public - Card key at all times,34.042311,-117.584572,7037
Clean Energy - City of Tulare,3989 S K St,Tulare,CA,93274,866-809-4869,public,Public - Credit card at all times,36.169487,-119.338155,7041
Oklahoma Natural Gas - Broken Arrow Service Center,2421 S 1st Pl,Broken Arrow,OK,74012,844-713-7987,public,Public - Credit card at all times,36.023112,-95.786303,7108
Norwich Public Utilities,157 N Main St,Norwich,CT,6360,860-823-4119  860-823-4159,public,Public - Credit card at all times,41.527246,-72.064419,7119
Clean Energy - Cockrell Hill,2005 S Cockrell Hill Rd,Dallas,TX,75211,866-809-4869,public,Public - Credit card at all times,32.723948,-96.893853,12767
Oklahoma Natural Gas - Norman Service Center,605 N Berry Rd,Norman,OK,73069,844-713-7987,public,Public - Credit card at all times,35.225601,-97.458827,12781
Oklahoma Natural Gas - Pauls Valley Service Center,1701 W Airline Rd,Pauls Valley,OK,73075,844-713-7987,public,Public - Credit card at all times,34.707522,-97.242035,12783
Oklahoma Natural Gas - CNG Maintenance Facility,1028 N Preston,Davenport,OK,74026,844-713-7987,public,Public - Credit card at all times,35.7140876,-96.7681766,12784
Oklahoma Natural Gas - Sapulpa Service Center,410 S Hawthorne St,Sapulpa,OK,74066,844-713-7987,public,Public - Credit card at all times,35.993424,-96.127984,12786
City of Victorville,14201 McArt Rd,Victorville,CA,92392,760-241-6365,public,Public - Credit card at all times,34.508713,-117.332343,12799
Fountain Valley - Orange County Sanitation District,10844 Ellis Ave,Fountain Valley,CA,92708,866-809-4869,public,Public - Credit card at all times,33.691565,-117.939438,12826
Whittier Union High School District,13200 Mulberry Dr,Whittier,CA,90602,562-698-8121,public,Public - Credit card at all times,33.954901,-118.045014,12832
SoCalGas - Santa Barbara Base,219 N Quarantina St,Santa Barbara,CA,93103,213-244-5681,public,Public - Credit card at all times,34.421443,-119.684178,12839
Kings Canyon Unified School District,1600 S Apple Ave,Reedley,CA,93654,559-305-7065,public,Public - Credit card at all times,36.590599,-119.4258,12840
City of Delano,725 S Lexington St,Delano,CA,93215,661-721-3350,public,Public - Credit card at all times,35.75191,-119.240762,12841
DTE Energy - Coolidge,14270 Schaefer Hwy,Detroit,MI,48227,888-383-5648,public,Public - Credit card at all times,42.392613,-83.177738,12847
Rogue Valley Transportation District,3200 Crater Lake Ave,Medford,OR,97504,541-779-5821,public,Public,42.36317,-122.85563,18888
Alternative Vehicle Service Group - Tewksbury,20 Main St,Tewksbury,MA,1876,617-242-8755,public,Public - Credit card at all times,42.629512,-71.270846,18892
Alternative Vehicle Service Group - Lexington,Route 128 N,Lexington,MA,2421,617-242-8755,public,Public - Credit card at all times,42.446147,-71.255103,18893
Clean Energy - Riverhead - National Grid,117 Doctors Path,Riverhead,NY,11901,866-809-4869,public,Public - Credit card at all times,40.940028,-72.652774,18898
Clean Energy - Hewlett - National Grid,455 Mill Rd,Valley Stream,NY,11581,866-809-4869,public,Public - Credit card at all times,40.648881,-73.707638,18900
Clean Energy - Seal Beach,3101 N Gate Rd,Seal Beach,CA,90740,866-809-4869,public,Public - Credit card at all times,33.773004,-118.077029,18929
City of Victorville,16690 D St,Victorville,CA,92395,760-241-6365,public,Public - Credit card at all times,34.53939073,-117.2961996,18943
Gas Technology Institute,1700 S Mount Prospect Rd,Des Plaines,IL,60018,847-768-0500,public,Public - Credit card at all times,42.018189,-87.922158,19143
Clean Energy - University of New Mexico,1140 University Blvd NE,Albuquerque,NM,87102,866-809-4869,public,Public - Credit card at all times,35.095006,-106.6241186,20888
Alternative Vehicle Service Group - Middleborough,12 Harding St Route 44,Middleborough,MA,2346,617-242-8755,public,Public - Credit card at all times,41.901602,-70.975499,20905
DTE Energy - Lynch,11043 French Rd,Detroit,MI,48234,888-383-5648,public,Public - Credit card at all times,42.408541,-83.010061,20914
Oklahoma Natural Gas - Guthrie Service Center,205 Sigma Pl,Guthrie,OK,73044,844-713-7987,public,Public - Credit card at all times,35.858586,-97.425416,20916
Oklahoma Natural Gas - Mustang Service Center,680 E State Highway 152,Mustang,OK,73064,844-713-7987,public,Public - Credit card at all times,35.391472,-97.711691,20917
Oklahoma Natural Gas - Clinton Service Center,500 W Commerce,Clinton,OK,73601,844-713-7987,public,Public - Credit card at all times,35.479669,-98.983451,20918
Oklahoma Natural Gas - Bartlesville Service Center,3601 NE Indiana St,Bartlesville,OK,74006,844-713-7987,public,Public - Credit card at all times,36.764066,-95.936657,20920
Oklahoma Natural Gas - Claremore Service Center,1449 SW Country Club Rd,Claremore,OK,74017,844-713-7987,public,Public - Credit card at all times,36.292974,-95.628285,20921
Oklahoma Natural Gas - Miami Service Center,11 S Treaty Rd,Miami,OK,74354,844-713-7987,public,Public - Credit card at all times,36.874317,-94.841332,20922
United Parcel Service,1825 W McKinley Ave,Fresno,CA,93728,800-920-1166,public,Public - Card key at all times,36.764688,-119.832131,20923
Trillium - City of Thousand Oaks,1993 Rancho Conejo Blvd,Thousand Oaks,CA,91320,800-920-1166  805-449-2499,public,Public - Credit card at all times,34.206237,-118.933606,20976
Trillium - Mount Diablo Unified School District,2352 Bisso Ln,Concord,CA,94520,800-920-1166,public,Public - Credit card at all times,37.982071,-122.046184,21660
Clean Energy - Dallas Fort Worth Airport South,2474 N Employee Rd,Grapevine,TX,76051,866-809-4869,public,Public - Credit card at all times,32.876733,-97.039256,21975
California Clean Fuels,15330 Woodruff Ave,Bellflower,CA,90706,562-923-5441,public,Public - Credit card at all times,33.893124,-118.117101,21985
Oklahoma Natural Gas - Tulsa Service Center West,7002 S Union Ave,Tulsa,OK,74132,844-713-7987,public,Public - Credit card at all times,36.060878,-96.011698,22718
Oklahoma Natural Gas - Tillman's Producers Co-op,507 S Main St,Frederick,OK,73542,844-713-7987,public,Public - Credit card at all times,34.384494,-99.017316,22719
Oklahoma Natural Gas - Stillwater Service Center,3424 N Perkins Rd,Stillwater,OK,74075,844-713-7987,public,Public - Credit card at all times,36.157402,-97.052963,22720
Clean Energy - Seattle-Tacoma International Airport,19425 28th Ave S,SeaTac,WA,98188,866-809-4869,public,Public - Credit card at all times,47.42816,-122.2995,23203
Questar Gas - Flying J Travel Plaza - Springville,1460 N 1750 W,Springville,UT,84663,801-489-3622,public,Public - Credit card at all times,40.187357,-111.640443,23211
Questar Gas - 7-Eleven,7953 S Airport Rd,West Jordan,UT,84088,801-280-6687,public,Public - Credit card at all times,40.607539,-111.996214,23212
Salt Lake City International Airport,600 N 3700 W,Salt Lake City,UT,84116,,public,Public - Credit card at all times,40.781373,-111.979973,23213
Dominion Energy - City of Murray,4646 S 500 W,Murray,UT,84123,800-323-5517,public,Public - Credit card at all times,40.671518,-111.906969,23219
City of Corona,430 N Cota St,Corona,CA,92880,951-736-2307,public,Public - Credit card at all times,33.886895,-117.571608,25425
City of Riverside,8095 Lincoln Ave,Riverside,CA,92504,951-351-6157,public,Public - Credit card at all times,33.92399216,-117.4119492,25437
Clean Energy - San Francisco Airport,790 N McDonnell Rd,San Francisco,CA,94128,866-809-4869,public,Public - Credit card at all times,37.63281472,-122.398352,25483
Trillium,4915 W Industrial Blvd,Midland,TX,79703,800-920-1166,public,Public - Credit card at all times,31.962765,-102.134214,25598
SoCalGas - Azusa Base,950 N Todd Ave,Azusa,CA,91702,213-244-5681,public,Public - Credit card at all times,34.138664,-117.923766,25600
Trillium - City of Placentia Corporate Yard,2999 E La Jolla St,Placentia,CA,92806,800-920-1166,public,Public - Credit card at all times,33.860704,-117.865217,25601
PSNC Energy,800 Gaston Rd,Gastonia,NC,28056,877-776-2427,public,Public - Credit card at all times,35.251751,-81.094667,25673
SoCalGas - Lancaster Base,44416 N Division St,Lancaster,CA,93535,213-244-5681,public,Public - Credit card at all times,34.689589,-118.130371,25763
Oklahoma Natural Gas - Anadarko Service Center,1700 E Central,Anadarko,OK,73005,844-713-7987,public,Public - Credit card at all times,35.072194,-98.214673,25880
Clean Energy - City of Burbank,810 N Lake St,Burbank,CA,91502,866-809-4869,public,Public - Credit card at all times,34.182925,-118.319347,26305
Clean Energy - ARCO Cathedral City,36001 Date Palm Dr,Cathedral City,CA,92234,866-809-4869,public,Public - Credit card at all times,33.786385,-116.458765,26306
Clean Energy - Desert Hot Springs Mission Springs Water District,14501 Park Ln,Desert Hot Springs,CA,92240,866-809-4869,public,Public - Credit card at all times,33.9432378,-116.4977441,26307
Clean Energy - 21st Century Oil - Garden Grove,12931 Garden Grove Blvd,Garden Grove,CA,92843,866-809-4869,public,Public - Credit card at all times,33.775099,-117.906743,26308
PG&E - Marysville Service Center,18 7th St,Marysville,CA,95901,800-684-4648,public,Public - Card key at all times,39.143012,-121.583657,26310
Clean Energy - Pasadena - Southern California Gas Co Base,3528 E Foothill Blvd,Pasadena,CA,91107,866-809-4869,public,Public - Credit card at all times,34.149215,-118.077389,26312
Clean Energy - Yucca Valley - Park n Ride Transit Facility,7485 Kickapoo Trail,Yucca Valley,CA,92284,866-809-4869,public,Public - Credit card at all times,34.118101,-116.45646,26314
Clean Energy - Oakland International Airport,7855 Earhart Rd,Oakland,CA,94621,866-809-4869,public,Public - Credit card at all times,37.73137,-122.212097,26554
Clean Energy - Dallas Service Center,1616 Baylor St,Dallas,TX,75226,866-809-4869,public,Public - Credit card at all times,32.780992,-96.775202,26654
Clean Energy - Dallas - Love Field Airport,8010 Denton Dr,Dallas,TX,75235,866-809-4869,public,Public - Credit card at all times,32.83931674,-96.85319535,26655
Southwest Transportation Agency,16644 S Elm Ave,Caruthers,CA,93609,559-644-1000,public,Public - Card key at all times,36.492055,-119.791174,26821
Clean Energy - Phoenix Sky Harbor Airport - Rental Car Center,2425 E Buckeye Rd,Phoenix,AZ,85034,866-809-4869,public,Public - Credit card at all times,33.435372,-112.033427,27026
Bluewater Area Transit,2021 Lapeer Ave,Port Huron,MI,48060,810-987-7373,public,Public - Credit card at all times,42.977443,-82.447928,27653
Trillium - City of Berkeley,1101 2nd St,Berkeley,CA,94710,800-920-1166,public,Public - Credit card at all times,37.88175,-122.306259,27973
Trillium - City of Visalia,439 N Cain St,Visalia,CA,93292,800-920-1166,public,Public - Credit card at all times,36.333091,-119.274467,27975
Trillium - Visalia Unified School District,2425 W Houston Ave,Visalia,CA,93291,800-920-1166,public,Public - Credit card at all times,36.341706,-119.318959,27976
City of Asheville,45 McCormick Pl,Asheville,NC,28801,828-259-5700,public,Public - Credit card at all times,35.588154,-82.550899,28133
Dominion Energy - Sinclair,524 N 1500 W,Orem,UT,84057,801-373-7970,public,Public - Credit card at all times,40.306765,-111.730637,28177
Victor Valley Transit Authority,100 N Sandstone Ct,Barstow,CA,92311,760-948-4021,public,Public - Credit card at all times,34.886448,-117.079423,28523
Clean Energy - Downtown Tucson,1744 E Winsett St,Tucson,AZ,85719,866-809-4869,public,Public - Credit card at all times,32.214451,-110.945473,29168
Robertson's Palmdale Honda,455 Auto Vista Dr,Palmdale,CA,93551,661-265-6000,public,Public - Credit card at all times,34.59343,-118.139497,29350
Alternative Vehicle Service Group - Walpole,533 High Plain St,Walpole,MA,2081,617-242-8755,public,Public - Credit card at all times,42.139911,-71.21695,30355
Clean Energy - Canoga Park,7711 Canoga Ave,Canoga Park,CA,91304,866-809-4869,public,Public - Credit card at all times,34.209938,-118.597508,30618
Clean Energy - Los Angeles Sanitation District,23924 Figueroa St,Carson,CA,90745,866-809-4869,public,Public - Credit card at all times,33.807567,-118.284438,30619
Clean Energy - University of California Los Angeles,741 Charles E Young Dr,Los Angeles,CA,90095,866-809-4869,public,Public - Credit card at all times,34.067097,-118.447096,30620
Trillium - City of Austin,2400 Business Center Dr,Austin,TX,78744,,public,Public - Credit card at all times,30.213718,-97.738941,30622
Trillium,550 Milam St,Beaumont,TX,77701,800-920-1166,public,Public - Credit card at all times,30.077123,-94.095962,30623
Clean Energy - Long Beach Gas and Oil Department,2400 E Spring St,Long Beach,CA,90755,866-809-4869,public,Public - Credit card at all times,33.81125792,-118.1627843,30626
Clean Energy - Santa Ana - SoCal Gas Base,3210 Maple St,Santa Ana,CA,92707,866-809-4869,public,Public - Credit card at all times,33.703906,-117.863732,30628
Clean Energy - San Leandro,8515 San Leandro St,Oakland,CA,94621,866-809-4869,public,Public - Credit card at all times,37.746023,-122.188974,30629
Clean Energy - Port of Oakland,209 Brush St,Oakland,CA,94607,866-809-4869,public,Public - Credit card at all times,37.798995,-122.28338,30630
PG&E - Merced Service Center,624 W 15th St,Merced,CA,95340,800-684-4648,public,Public - Card key at all times,37.299692,-120.486137,30832
Clean Energy - Pomona Foothill Transit,1670 E 1st St,Pomona,CA,91766,866-809-4869,public,Public - Credit card at all times,34.059216,-117.722362,30833
Kakco,4355 Lafayette Blvd,Indianapolis,IN,46254,317-829-1486  317-590-5610,public,Public - Credit card at all times,39.834688,-86.25018,31839
Birmingham Jefferson County Transit Authority,3105 8th Ave N,Birmingham,AL,35203,205-521-0170,public,Public - Credit card after hours,33.528486,-86.794315,32154
NC CNG,2618 Hendersonville Rd,Arden,NC,28704,828-654-8300,public,Public - Credit card at all times,35.44761,-82.507734,32226
Clean Energy - City of Santa Clarita,28283 Alta Vista Ave,Santa Clarita,CA,91355,866-809-4869,public,Public - Credit card at all times,34.448887,-118.576562,32422
Kern County Superintendent of Schools,705 S Union Ave,Bakersfield,CA,93307,661-852-5800,public,Public - Credit card at all times,35.347789,-119.002508,32513
City of San Bernardino,187 S Pershing Ave,San Bernardino,CA,92408,909-384-5220,public,Public - Credit card at all times,34.098543,-117.288482,32669
Oklahoma Natural Gas - Tulsa North Service Center,4821 E 66th St N,Tulsa,OK,74117,844-713-7987,public,Public - Credit card at all times,36.250159,-95.921194,32670
Blue Energy Fuels - Tulsa Gas Technologies,4809 S 101 E Ave,Tulsa,OK,74146,918-641-2583,public,Public - Credit card after hours,36.093705,-95.863764,32671
Trillium,717 S Sylvania Ave,Sturtevant,WI,53177,800-920-1166,public,Public - Credit card at all times,42.725613,-87.955958,32724
City of Riverside,5961 Acorn St,Riverside,CA,92504,951-351-6157,public,Public - Credit card at all times,33.96068,-117.454372,32831
Questar Gas - LW's Travel Plaza,1674 W 1100 S,Perry,UT,84302,800-323-5517,public,Public - Credit card at all times,41.485609,-112.057813,33204
